gene,lineage,partner,rho
KCNQ1OT1,Hepatocyte,ZNF566,0.3187009740851594
KCNQ1OT1,Hepatocyte,NAA60,0.27790690128344797
KCNQ1OT1,Hepatocyte,CCDC68,0.27790690128344797
KCNQ1OT1,Hepatocyte,FAM71E1,0.27790690128344797
KCNQ1OT1,Hepatocyte,AC097500.2,0.2775354921270384
KCNQ1OT1,Hepatocyte,XXYLT1-AS2,0.2775354921270384
KCNQ1OT1,Hepatocyte,RP11-108L7.15,0.2775354921270384
KCNQ1OT1,Hepatocyte,MFSD4,0.2769783783924241
KCNQ1OT1,Hepatocyte,ATP6V1G2,0.2769783783924241
KCNQ1OT1,Hepatocyte,PACSIN1,0.27642126465780975
KCNQ1OT1,Hepatocyte,AEBP1,0.27642126465780975
KCNQ1OT1,Hepatocyte,CUX2,0.27642126465780975
KCNQ1OT1,Hepatocyte,LILRA4,0.27642126465780975
KCNQ1OT1,Hepatocyte,RP11-293A21.1,0.276235560079605
KCNQ1OT1,Hepatocyte,PLCE1,0.2760945866882635
KCNQ1OT1,Hepatocyte,RP11-483I13.5,0.2760498555014002
KCNQ1OT1,Hepatocyte,ZNF726,0.2760498555014002
KCNQ1OT1,Hepatocyte,RP11-98D18.9,0.27586415092319544
KCNQ1OT1,Hepatocyte,LINGO4,0.27586415092319544
KCNQ1OT1,Hepatocyte,TNFSF4,0.27586415092319544
KCNQ1OT1,Kupffer,XIST,0.17149057101399987
KCNQ1OT1,Kupffer,MTRNR2L12,0.16176458303815738
KCNQ1OT1,Kupffer,CDKN1C,0.13821973444083338
KCNQ1OT1,Kupffer,MT-ND1,0.12716183635929568
KCNQ1OT1,Kupffer,MT-CYB,0.12713384315052756
KCNQ1OT1,Kupffer,RPL21,-0.12395825960129082
KCNQ1OT1,Kupffer,RPL7,-0.12119417746427717
KCNQ1OT1,Kupffer,MT-ATP6,0.12103530863646055
KCNQ1OT1,Kupffer,MT-CO3,0.12027365328115461
KCNQ1OT1,Kupffer,MT-ATP8,0.1202618785907767
KCNQ1OT1,Kupffer,MT-ND5,0.11898347806874868
KCNQ1OT1,Kupffer,RPL34,-0.11838644422271309
KCNQ1OT1,Kupffer,BOD1L1,0.11438835742794128
KCNQ1OT1,Kupffer,RPLP2,-0.1129270693417446
KCNQ1OT1,Kupffer,RPL39,-0.11014697461654746
KCNQ1OT1,Kupffer,TYROBP,-0.10987237452751905
KCNQ1OT1,Kupffer,KLF2,0.10908134453212541
KCNQ1OT1,Kupffer,MT-CO1,0.10837128310937691
KCNQ1OT1,Kupffer,RPL13A,-0.10749328963712174
KCNQ1OT1,Kupffer,GNAS,0.10710791360437771
KCNQ1OT1,LSEC,DCDC2,0.33196426266844836
KCNQ1OT1,LSEC,ONECUT1,0.3284911594651688
KCNQ1OT1,LSEC,CITED4,0.31625091787824594
KCNQ1OT1,LSEC,CAMK2N1,0.3144053287533559
KCNQ1OT1,LSEC,SLC17A4,0.3021341271026109
KCNQ1OT1,LSEC,SLC4A4,0.2996433638075244
KCNQ1OT1,LSEC,SFRP5,0.2978810919402152
KCNQ1OT1,LSEC,C8orf47,0.29640606775603506
KCNQ1OT1,LSEC,FAM150B,0.29336900379215597
KCNQ1OT1,LSEC,CYP3A5,0.29299630484682204
KCNQ1OT1,LSEC,EHF,0.2927488289130789
KCNQ1OT1,LSEC,SERPINA5,0.2906817210753484
KCNQ1OT1,LSEC,CLDN10,0.2869186886652894
KCNQ1OT1,LSEC,CFTR,0.2866637362375111
KCNQ1OT1,LSEC,FGFR2,0.28416624928465445
KCNQ1OT1,LSEC,TMEM238,0.2821420064383251
KCNQ1OT1,LSEC,CLDN3,0.28177171052127536
KCNQ1OT1,LSEC,PPAP2C,0.28144555747339456
KCNQ1OT1,LSEC,DSP,0.28119913742634534
KCNQ1OT1,LSEC,PROM1,0.2800615056431772
KCNQ1OT1,Cholangiocyte,MS4A2,0.11089362504589256
KCNQ1OT1,Cholangiocyte,HDC,0.10574446806498165
KCNQ1OT1,Cholangiocyte,VIM,0.10517191043039417
KCNQ1OT1,Cholangiocyte,CPA3,0.10316333934985426
KCNQ1OT1,Cholangiocyte,TPSAB1,0.10226177501354808
KCNQ1OT1,Cholangiocyte,IL1RL1,0.10211641143799872
KCNQ1OT1,Cholangiocyte,KIT,0.10150836985815657
KCNQ1OT1,Cholangiocyte,HPGDS,0.1002332450857279
KCNQ1OT1,Cholangiocyte,RPL13A,-0.09999445600518725
KCNQ1OT1,Cholangiocyte,RPS27,-0.09830666608646413
KCNQ1OT1,Cholangiocyte,MITF,0.09704422000072928
KCNQ1OT1,Cholangiocyte,STXBP6,0.09664873629413323
KCNQ1OT1,Cholangiocyte,LTC4S,0.09595723031924265
KCNQ1OT1,Cholangiocyte,BACE2,0.0958842213988155
KCNQ1OT1,Cholangiocyte,RAB27B,0.093529344758497
KCNQ1OT1,Cholangiocyte,JUN,0.09278790014387069
KCNQ1OT1,Cholangiocyte,VWA5A,0.09245113560371215
KCNQ1OT1,Cholangiocyte,LMNA,0.09176378716362464
KCNQ1OT1,Cholangiocyte,RPS9,-0.09143877124845823
KCNQ1OT1,Cholangiocyte,TCEAL4,0.09084963646255129
IDI2-AS1,Hepatocyte,NUPR1,0.3156455590706504
IDI2-AS1,Hepatocyte,FAM9B,0.3154339294634961
IDI2-AS1,Hepatocyte,CYP4F12,0.31501067024918744
IDI2-AS1,Hepatocyte,PCOLCE,0.2230080187270245
IDI2-AS1,Hepatocyte,RP11-1008C21.1,0.22211000036292122
IDI2-AS1,Hepatocyte,RP11-563N4.1,0.1815657926747946
IDI2-AS1,Hepatocyte,SLC25A35,0.18144336332151048
IDI2-AS1,Hepatocyte,NEU3,0.18070964449304236
IDI2-AS1,Hepatocyte,KIAA1328,0.1720292211312178
IDI2-AS1,Hepatocyte,MINA,0.1567904022831486
IDI2-AS1,Hepatocyte,RP11-63N8.3,0.15668456979809753
IDI2-AS1,Hepatocyte,RP11-566E18.3,0.1565785958730397
IDI2-AS1,Hepatocyte,NOP16,0.15604907984776747
IDI2-AS1,Hepatocyte,MZF1,0.14971268012835
IDI2-AS1,Hepatocyte,MAN1B1,0.14102797941369014
IDI2-AS1,Hepatocyte,RP3-475N16.1,0.1400247239668306
IDI2-AS1,Hepatocyte,RUSC1,0.13983496220830843
IDI2-AS1,Hepatocyte,RP11-78O7.2,0.13974022367409036
IDI2-AS1,Hepatocyte,HCG11,0.13907708556679593
IDI2-AS1,Hepatocyte,LANCL2,0.13907680087670982
IDI2-AS1,Kupffer,COL2A1,0.1385345536066214
IDI2-AS1,Kupffer,RP5-1121E10.2,0.13848836772443884
IDI2-AS1,Kupffer,CTC-529P8.1,0.138419088901165
IDI2-AS1,Kupffer,AC093690.1,0.1384036936071041
IDI2-AS1,Kupffer,SLC22A31,0.13839599596007368
IDI2-AS1,Kupffer,AC019118.3,0.13838829831304328
IDI2-AS1,Kupffer,DRP2,0.13838829831304328
IDI2-AS1,Kupffer,RP11-266K22.2,0.0978484963788623
IDI2-AS1,Kupffer,RP11-463D19.1,0.0978484963788623
IDI2-AS1,Kupffer,RP11-557C18.4,0.09783761041299158
IDI2-AS1,Kupffer,AC096649.2,0.0978212799545941
IDI2-AS1,Kupffer,RP11-202D1.2,0.09778318058363811
IDI2-AS1,Kupffer,RP11-498C9.16,0.09772874411208227
IDI2-AS1,Kupffer,RP11-135J2.4,0.07985184927000287
IDI2-AS1,Kupffer,RP11-215N21.1,0.07977629511863704
IDI2-AS1,Kupffer,RP4-790G17.7,0.07975407330941178
IDI2-AS1,Kupffer,AC003101.1,0.07974963030341943
IDI2-AS1,Kupffer,RP13-766D20.2,0.07974518458572169
IDI2-AS1,Kupffer,CNR1,0.07970518915015565
IDI2-AS1,Kupffer,RASL12,0.07967408034287099
IDI2-AS1,LSEC,PHKA2-AS1,0.37891879338069345
IDI2-AS1,LSEC,TEX12,0.37891879338069345
IDI2-AS1,LSEC,AP000695.6,0.37891879338069345
IDI2-AS1,LSEC,RP11-276H7.3,0.3782819550724906
IDI2-AS1,LSEC,CTD-2083E4.6,0.3782819550724906
IDI2-AS1,LSEC,CTD-2306M5.1,0.3782819550724906
IDI2-AS1,LSEC,PCDHGB1,0.3782819550724906
IDI2-AS1,LSEC,RP11-251G23.5,0.3782819550724906
IDI2-AS1,LSEC,KB-208E9.1,0.3782819550724906
IDI2-AS1,LSEC,AP000475.2,0.3776451167642877
IDI2-AS1,LSEC,C9orf139,0.3770082784560849
IDI2-AS1,LSEC,RP3-508I15.22,0.3770082784560849
IDI2-AS1,LSEC,RP11-541P9.3,0.3763714401478821
IDI2-AS1,LSEC,RP11-16B13.1,0.3763714401478821
IDI2-AS1,LSEC,DLL3,0.37573460183967916
IDI2-AS1,LSEC,TMEM40,0.3750977635314764
IDI2-AS1,LSEC,RDM1,0.3750977635314764
IDI2-AS1,LSEC,LINC01119,0.26669823205392096
IDI2-AS1,LSEC,RP11-996F15.2,0.26669823205392096
IDI2-AS1,LSEC,RP1-101K10.6,0.26624735194526833
IDI2-AS1,Cholangiocyte,RP11-79N23.1,0.3532638055473641
IDI2-AS1,Cholangiocyte,RP11-1379J22.2,0.35317471001002554
IDI2-AS1,Cholangiocyte,CCL25,0.35317471001002554
IDI2-AS1,Cholangiocyte,TMEM155,0.353085614472687
IDI2-AS1,Cholangiocyte,BCL6B,0.353085614472687
IDI2-AS1,Cholangiocyte,C19orf80,0.353085614472687
IDI2-AS1,Cholangiocyte,SYTL5,0.24959045201027413
IDI2-AS1,Cholangiocyte,GDF5OS,0.24952742418246557
IDI2-AS1,Cholangiocyte,GPR176,0.24940146373504765
IDI2-AS1,Cholangiocyte,Z69666.2,0.20362252036280482
IDI2-AS1,Cholangiocyte,RLN1,0.20341678246791306
IDI2-AS1,Cholangiocyte,AP005482.1,0.20341678246791306
IDI2-AS1,Cholangiocyte,DHDH,0.20341678246791306
IDI2-AS1,Cholangiocyte,RP11-313P13.5,0.17624199301935098
IDI2-AS1,Cholangiocyte,RP11-559M23.1,0.17610830763130175
IDI2-AS1,Cholangiocyte,ZNF365,0.17601922892649735
IDI2-AS1,Cholangiocyte,PROM1,0.17597471201770937
IDI2-AS1,Cholangiocyte,OTUD6A,0.15754593398082425
IDI2-AS1,Cholangiocyte,RP3-510H16.3,0.15750605411320287
