lineage,n_detected,n_total,gene
Bcell,447,3408,KCNQ1OT1
Cholangiocyte,567,7941,KCNQ1OT1
Hepatocyte,13,2994,KCNQ1OT1
Kupffer,1953,36057,KCNQ1OT1
LSEC,260,1191,KCNQ1OT1
NK,1594,41808,KCNQ1OT1
Tcell,2328,59114,KCNQ1OT1
Bcell,3,3408,IDI2-AS1
Cholangiocyte,8,7941,IDI2-AS1
Hepatocyte,10,2994,IDI2-AS1
Kupffer,52,36057,IDI2-AS1
LSEC,7,1191,IDI2-AS1
NK,102,41808,IDI2-AS1
Tcell,82,59114,IDI2-AS1
Bcell,2499,3408,NEAT1
Cholangiocyte,7364,7941,NEAT1
Hepatocyte,2936,2994,NEAT1
Kupffer,34981,36057,NEAT1
LSEC,1148,1191,NEAT1
NK,35087,41808,NEAT1
Tcell,43028,59114,NEAT1
Bcell,3406,3408,MALAT1
Cholangiocyte,7939,7941,MALAT1
Hepatocyte,2988,2994,MALAT1
Kupffer,35962,36057,MALAT1
LSEC,1189,1191,MALAT1
NK,41806,41808,MALAT1
Tcell,59109,59114,MALAT1
Bcell,8,3408,MEG3
Cholangiocyte,392,7941,MEG3
Hepatocyte,4,2994,MEG3
Kupffer,137,36057,MEG3
LSEC,739,1191,MEG3
NK,26,41808,MEG3
Tcell,22,59114,MEG3
Bcell,2,3408,HULC
Cholangiocyte,4,7941,HULC
Hepatocyte,0,2994,HULC
Kupffer,66,36057,HULC
LSEC,9,1191,HULC
NK,16,41808,HULC
Tcell,12,59114,HULC
Bcell,226,3408,MIAT
Cholangiocyte,22,7941,MIAT
Hepatocyte,35,2994,MIAT
Kupffer,160,36057,MIAT
LSEC,67,1191,MIAT
NK,4908,41808,MIAT
Tcell,5555,59114,MIAT
Bcell,1,3408,LINC00261
Cholangiocyte,2,7941,LINC00261
Hepatocyte,0,2994,LINC00261
Kupffer,20,36057,LINC00261
LSEC,47,1191,LINC00261
NK,1,41808,LINC00261
Tcell,8,59114,LINC00261
