gene,lineage,bin,mean_expr,n_cells
KCNQ1OT1,Hepatocyte,0,0.00873015820980072,2994
KCNQ1OT1,Hepatocyte,1,0.009788637049496174,2994
KCNQ1OT1,Hepatocyte,2,0.017752258107066154,2994
KCNQ1OT1,Hepatocyte,3,0.0,2994
KCNQ1OT1,Hepatocyte,4,0.0,2994
KCNQ1OT1,Hepatocyte,5,0.008827210403978825,2994
KCNQ1OT1,Hepatocyte,6,0.016144203022122383,2994
KCNQ1OT1,Hepatocyte,7,0.0075716255232691765,2994
KCNQ1OT1,Hepatocyte,8,0.0,2994
KCNQ1OT1,Hepatocyte,9,0.03952100872993469,2994
KCNQ1OT1,Kupffer,0,0.0854058712720871,36057
KCNQ1OT1,Kupffer,1,0.08418747782707214,36057
KCNQ1OT1,Kupffer,2,0.059109561145305634,36057
KCNQ1OT1,Kupffer,3,0.07007285207509995,36057
KCNQ1OT1,Kupffer,4,0.09819921106100082,36057
KCNQ1OT1,Kupffer,5,0.047049254179000854,36057
KCNQ1OT1,Kupffer,6,0.03893081098794937,36057
KCNQ1OT1,Kupffer,7,0.030604159459471703,36057
KCNQ1OT1,Kupffer,8,0.02792474254965782,36057
KCNQ1OT1,Kupffer,9,0.06040099263191223,36057
KCNQ1OT1,LSEC,0,0.2377886176109314,1191
KCNQ1OT1,LSEC,1,0.21241351962089539,1191
KCNQ1OT1,LSEC,2,0.2773461937904358,1191
KCNQ1OT1,LSEC,3,0.21144966781139374,1191
KCNQ1OT1,LSEC,4,0.2581961452960968,1191
KCNQ1OT1,LSEC,5,0.24786624312400818,1191
KCNQ1OT1,LSEC,6,0.2464640587568283,1191
KCNQ1OT1,LSEC,7,0.4582935869693756,1191
KCNQ1OT1,LSEC,8,0.6677276492118835,1191
KCNQ1OT1,LSEC,9,0.4543344974517822,1191
KCNQ1OT1,Cholangiocyte,0,0.06393604725599289,7941
KCNQ1OT1,Cholangiocyte,1,0.1899852603673935,7941
KCNQ1OT1,Cholangiocyte,2,0.08459684252738953,7941
KCNQ1OT1,Cholangiocyte,3,0.11134136468172073,7941
KCNQ1OT1,Cholangiocyte,4,0.08769309520721436,7941
KCNQ1OT1,Cholangiocyte,5,0.07928220927715302,7941
KCNQ1OT1,Cholangiocyte,6,0.0898992121219635,7941
KCNQ1OT1,Cholangiocyte,7,0.07598162442445755,7941
KCNQ1OT1,Cholangiocyte,8,0.07583659142255783,7941
KCNQ1OT1,Cholangiocyte,9,0.09933250397443771,7941
IDI2-AS1,Hepatocyte,0,0.009494670666754246,2994
IDI2-AS1,Hepatocyte,1,0.008959407918155193,2994
IDI2-AS1,Hepatocyte,2,0.009440583176910877,2994
IDI2-AS1,Hepatocyte,3,0.018520187586545944,2994
IDI2-AS1,Hepatocyte,4,0.019211405888199806,2994
IDI2-AS1,Hepatocyte,5,0.016316257417201996,2994
IDI2-AS1,Hepatocyte,6,0.008997735567390919,2994
IDI2-AS1,Hepatocyte,7,0.0,2994
IDI2-AS1,Hepatocyte,8,0.0,2994
IDI2-AS1,Hepatocyte,9,0.0,2994
IDI2-AS1,Kupffer,0,0.0016513363225385547,36057
IDI2-AS1,Kupffer,1,0.003160671563819051,36057
IDI2-AS1,Kupffer,2,0.002720330376178026,36057
IDI2-AS1,Kupffer,3,0.002250265097245574,36057
IDI2-AS1,Kupffer,4,0.0003785232256632298,36057
IDI2-AS1,Kupffer,5,0.0011909088352695107,36057
IDI2-AS1,Kupffer,6,0.0005458773812279105,36057
IDI2-AS1,Kupffer,7,0.0014492052141577005,36057
IDI2-AS1,Kupffer,8,0.0002956120006274432,36057
IDI2-AS1,Kupffer,9,0.001106807729229331,36057
IDI2-AS1,LSEC,0,0.007927480153739452,1191
IDI2-AS1,LSEC,1,0.0,1191
IDI2-AS1,LSEC,2,0.0,1191
IDI2-AS1,LSEC,3,0.028722306713461876,1191
IDI2-AS1,LSEC,4,0.0,1191
IDI2-AS1,LSEC,5,0.01895911805331707,1191
IDI2-AS1,LSEC,6,0.02153235860168934,1191
IDI2-AS1,LSEC,7,0.0,1191
IDI2-AS1,LSEC,8,0.0,1191
IDI2-AS1,LSEC,9,0.0,1191
IDI2-AS1,Cholangiocyte,0,0.0028713070787489414,7941
IDI2-AS1,Cholangiocyte,1,0.0011339503107592463,7941
IDI2-AS1,Cholangiocyte,2,0.0015124495839700103,7941
IDI2-AS1,Cholangiocyte,3,0.0,7941
IDI2-AS1,Cholangiocyte,4,0.00153357011731714,7941
IDI2-AS1,Cholangiocyte,5,0.0,7941
IDI2-AS1,Cholangiocyte,6,0.0014807152329012752,7941
IDI2-AS1,Cholangiocyte,7,0.0043875607661902905,7941
IDI2-AS1,Cholangiocyte,8,0.0,7941
IDI2-AS1,Cholangiocyte,9,0.0,7941
NEAT1,Hepatocyte,0,5.0852131843566895,2994
NEAT1,Hepatocyte,1,5.08599853515625,2994
NEAT1,Hepatocyte,2,4.992452621459961,2994
