gene,n_donors,median_LSEC_detection,median_other_detection,wilcoxon_stat,p_greater,q_bh
KCNQ1OT1,9,0.12903225806451613,0.05180737077593312,45.0,0.001953125,0.006510416666666667
MEG3,9,0.7786259541984732,0.0020016484163428707,45.0,0.001953125,0.006510416666666667
ZFAS1,9,0.23809523809523808,0.5112703083024178,0.0,1.0,1.0
LINC00996,9,0.0,0.032130321303213034,1.0,0.998046875,1.0
NEAT1,9,1.0,0.8488311688311688,45.0,0.001953125,0.006510416666666667
MALAT1,9,1.0,0.9997697326340028,21.0,0.015625,0.0390625
IDI2-AS1,9,0.0,0.002210759027266028,17.0,0.751953125,0.93994140625
MIAT,9,0.034782608695652174,0.06644492772163234,18.0,0.71484375,0.93994140625
HULC,9,0.0,0.0007989235556303087,26.0,0.15625,0.3125
LINC00261,9,0.0,0.00018422991893883567,15.0,0.6796875,0.93994140625
