gene,cell_type,n_lean,n_obese,median_lean,median_obese,mwu_stat,p,q_bh
MALAT1,Resident NK,11,3,1.0,0.9973753280839895,27.5,0.007307423545133528,0.2922969418053411
NEAT1,Mono+mono derived cells,11,3,0.999185667752443,0.9705882352941176,31.0,0.025791011033325588,0.3563961454963055
MIAT,Mono+mono derived cells,11,3,0.008771929824561403,0.0,31.0,0.028564714522388422,0.3563961454963055
NEAT1,T cells,11,3,0.8260312944523471,0.528957528957529,30.0,0.038461538461538464,0.3563961454963055
MALAT1,Mono+mono derived cells,11,3,1.0,0.9999378418697166,26.0,0.05119341266609651,0.3563961454963055
IDI2-AS1,Resident NK,11,3,0.003416856492027335,0.0,29.0,0.06056405655207737,0.3563961454963055
HULC,T cells,11,3,0.0001301913813305559,0.0,28.5,0.062369325461853455,0.3563961454963055
KCNQ1OT1,Mono+mono derived cells,11,3,0.13168724279835392,0.03704624564893088,28.0,0.08791208791208792,0.43956043956043955
MEG3,Circulating NK/NKT,11,3,0.0003616636528028933,0.0,25.5,0.1427478748316837,0.6344349992519275
HULC,Circulating NK/NKT,11,3,0.0,0.0,24.0,0.20401626195615297,0.8160650478246119
ZFAS1,Mono+mono derived cells,11,3,0.8167053364269141,0.7427274987568374,25.0,0.22527472527472528,0.8191808191808191
MEG3,Resident NK,11,3,0.0,0.0,22.5,0.2834288744635406,0.9447629148784686
IDI2-AS1,Mono+mono derived cells,11,3,0.0008143322475570033,0.0,23.0,0.3184710389184273,0.9651218346870521
MEG3,Mono+mono derived cells,11,3,0.010416666666666666,0.0,23.0,0.3496713163310613,0.9651218346870521
NEAT1,Circulating NK/NKT,11,3,0.945985401459854,0.7203389830508474,23.0,0.36813186813186816,0.9651218346870521
HULC,Resident NK,11,3,0.0,0.0,21.0,0.38616001333194605,0.9651218346870521
IDI2-AS1,Circulating NK/NKT,11,3,0.0020429009193054137,0.014388489208633094,11.0,0.4560439560439561,0.9651218346870521
IDI2-AS1,T cells,11,3,0.001991465149359886,0.0010582010582010583,22.0,0.4560439560439561,0.9651218346870521
MALAT1,T cells,11,3,1.0,1.0,20.0,0.5157234585024593,0.9651218346870521
KCNQ1OT1,T cells,11,3,0.05002718868950517,0.08677248677248678,12.0,0.554945054945055,0.9651218346870521
NEAT1,Resident NK,11,3,0.8416988416988417,0.5774278215223098,21.0,0.554945054945055,0.9651218346870521
KCNQ1OT1,Resident NK,11,3,0.03891290920321186,0.022222222222222223,21.0,0.554945054945055,0.9651218346870521
ZFAS1,T cells,11,3,0.5831691528285956,0.5691823899371069,21.0,0.554945054945055,0.9651218346870521
MEG3,T cells,11,3,0.00045566983465694574,0.0,20.0,0.6366994561102653,0.9768009768009768
LINC00996,Circulating NK/NKT,11,3,0.020689655172413793,0.03597122302158273,13.0,0.6593406593406593,0.9768009768009768
ZFAS1,Circulating NK/NKT,11,3,0.40399002493765584,0.4028776978417266,13.0,0.6593406593406593,0.9768009768009768
MIAT,T cells,11,3,0.13143822122150295,0.0694980694980695,20.0,0.6593406593406593,0.9768009768009768
LINC00261,Resident NK,11,3,0.0,0.0,18.0,0.7277235466695502,1.0
LINC00261,T cells,11,3,0.0,0.0,18.0,0.7277235466695502,1.0
KCNQ1OT1,Circulating NK/NKT,11,3,0.04007820136852395,0.06474820143884892,14.0,0.7692307692307692,1.0
HULC,Mono+mono derived cells,11,3,0.0008250825082508251,0.0005594231725509697,14.5,0.8079386079628512,1.0
LINC00996,Resident NK,11,3,0.19498069498069498,0.1994750656167979,18.0,0.8846153846153846,1.0
MIAT,Circulating NK/NKT,11,3,0.09134615384615384,0.07913669064748201,18.0,0.8846153846153846,1.0
LINC00261,Circulating NK/NKT,11,3,0.0,0.0,16.5,1.0,1.0
ZFAS1,Resident NK,11,3,0.41946308724832215,0.4409448818897638,17.0,1.0,1.0
LINC00996,T cells,11,3,0.015824541921154914,0.014814814814814815,17.0,1.0,1.0
LINC00996,Mono+mono derived cells,11,3,0.0017489069331667708,0.0008080556936847339,16.0,1.0,1.0
MALAT1,Circulating NK/NKT,11,3,1.0,1.0,16.5,1.0,1.0
LINC00261,Mono+mono derived cells,11,3,0.0,0.0,17.0,1.0,1.0
MIAT,Resident NK,11,3,0.011389521640091117,0.005249343832020997,17.0,1.0,1.0
