donor,condition,cell_type,gene,n_cells,n_detected,detection_rate,mean_count
H02,Lean,B cells,KCNQ1OT1,533,16,0.0300187617260788,0.0300187617260788
H02,Lean,B cells,MEG3,533,0,0.0,0.0
H02,Lean,B cells,ZFAS1,533,293,0.549718574108818,0.8930581613508443
H02,Lean,B cells,LINC00996,533,6,0.01125703564727955,0.01125703564727955
H02,Lean,B cells,NEAT1,533,315,0.5909943714821764,1.2363977485928705
H02,Lean,B cells,MALAT1,533,533,1.0,135.56660412757975
H02,Lean,B cells,IDI2-AS1,533,0,0.0,0.0
H02,Lean,B cells,MIAT,533,34,0.06378986866791744,0.06941838649155722
H02,Lean,B cells,HULC,533,0,0.0,0.0
H02,Lean,B cells,LINC00261,533,0,0.0,0.0
H02,Lean,Basophils,KCNQ1OT1,140,17,0.12142857142857143,0.1357142857142857
H02,Lean,Basophils,MEG3,140,1,0.007142857142857143,0.007142857142857143
H02,Lean,Basophils,ZFAS1,140,70,0.5,0.8214285714285714
H02,Lean,Basophils,LINC00996,140,2,0.014285714285714285,0.014285714285714285
H02,Lean,Basophils,NEAT1,140,102,0.7285714285714285,2.407142857142857
H02,Lean,Basophils,MALAT1,140,140,1.0,133.2
H02,Lean,Basophils,IDI2-AS1,140,1,0.007142857142857143,0.007142857142857143
H02,Lean,Basophils,MIAT,140,3,0.02142857142857143,0.02142857142857143
H02,Lean,Basophils,HULC,140,0,0.0,0.0
H02,Lean,Basophils,LINC00261,140,0,0.0,0.0
H02,Lean,Cholangiocytes,KCNQ1OT1,67,14,0.208955223880597,0.2835820895522388
H02,Lean,Cholangiocytes,MEG3,67,0,0.0,0.0
H02,Lean,Cholangiocytes,ZFAS1,67,37,0.5522388059701493,0.9402985074626866
H02,Lean,Cholangiocytes,LINC00996,67,0,0.0,0.0
H02,Lean,Cholangiocytes,NEAT1,67,49,0.7313432835820896,3.7761194029850746
H02,Lean,Cholangiocytes,MALAT1,67,67,1.0,92.38805970149254
H02,Lean,Cholangiocytes,IDI2-AS1,67,0,0.0,0.0
H02,Lean,Cholangiocytes,MIAT,67,0,0.0,0.0
H02,Lean,Cholangiocytes,HULC,67,1,0.014925373134328358,0.014925373134328358
H02,Lean,Cholangiocytes,LINC00261,67,8,0.11940298507462686,0.11940298507462686
H02,Lean,Circulating NK/NKT,KCNQ1OT1,1949,45,0.023088763468445357,0.024114930733709596
H02,Lean,Circulating NK/NKT,MEG3,1949,0,0.0,0.0
H02,Lean,Circulating NK/NKT,ZFAS1,1949,620,0.3181118522319138,0.40584915341200617
H02,Lean,Circulating NK/NKT,LINC00996,1949,19,0.009748589020010261,0.0107747562852745
H02,Lean,Circulating NK/NKT,NEAT1,1949,1607,0.8245253976398152,2.48435094920472
H02,Lean,Circulating NK/NKT,MALAT1,1949,1949,1.0,136.71523858388917
H02,Lean,Circulating NK/NKT,IDI2-AS1,1949,1,0.000513083632632119,0.000513083632632119
H02,Lean,Circulating NK/NKT,MIAT,1949,220,0.11287839917906618,0.12365315546434069
H02,Lean,Circulating NK/NKT,HULC,1949,0,0.0,0.0
H02,Lean,Circulating NK/NKT,LINC00261,1949,0,0.0,0.0
H02,Lean,Endothelial cells,KCNQ1OT1,47,2,0.0425531914893617,0.0425531914893617
H02,Lean,Endothelial cells,MEG3,47,16,0.3404255319148936,0.5957446808510638
H02,Lean,Endothelial cells,ZFAS1,47,16,0.3404255319148936,0.5106382978723404
H02,Lean,Endothelial cells,LINC00996,47,0,0.0,0.0
H02,Lean,Endothelial cells,NEAT1,47,45,0.9574468085106383,12.148936170212766
H02,Lean,Endothelial cells,MALAT1,47,47,1.0,119.44680851063829
H02,Lean,Endothelial cells,IDI2-AS1,47,0,0.0,0.0
H02,Lean,Endothelial cells,MIAT,47,0,0.0,0.0
H02,Lean,Endothelial cells,HULC,47,1,0.02127659574468085,0.02127659574468085
H02,Lean,Endothelial cells,LINC00261,47,0,0.0,0.0
H02,Lean,Fibroblasts,KCNQ1OT1,113,29,0.25663716814159293,0.36283185840707965
H02,Lean,Fibroblasts,MEG3,113,46,0.40707964601769914,0.7433628318584071
H02,Lean,Fibroblasts,ZFAS1,113,100,0.8849557522123894,3.061946902654867
H02,Lean,Fibroblasts,LINC00996,113,0,0.0,0.0
H02,Lean,Fibroblasts,NEAT1,113,109,0.9646017699115044,6.831858407079646
H02,Lean,Fibroblasts,MALAT1,113,113,1.0,125.88495575221239
H02,Lean,Fibroblasts,IDI2-AS1,113,0,0.0,0.0
H02,Lean,Fibroblasts,MIAT,113,3,0.02654867256637168,0.02654867256637168
H02,Lean,Fibroblasts,HULC,113,0,0.0,0.0
H02,Lean,Fibroblasts,LINC00261,113,0,0.0,0.0
H02,Lean,Hepatocytes,KCNQ1OT1,4,0,0.0,0.0
H02,Lean,Hepatocytes,MEG3,4,0,0.0,0.0
H02,Lean,Hepatocytes,ZFAS1,4,0,0.0,0.0
H02,Lean,Hepatocytes,LINC00996,4,0,0.0,0.0
H02,Lean,Hepatocytes,NEAT1,4,4,1.0,8.5
H02,Lean,Hepatocytes,MALAT1,4,4,1.0,303.75
H02,Lean,Hepatocytes,IDI2-AS1,4,0,0.0,0.0
H02,Lean,Hepatocytes,MIAT,4,0,0.0,0.0
