gene,spearman_rho,wald_p,wald_q,log2fc_max_min,is_progression_coupled,lineage
FAM87B,,1.0,1.0,0.0,False,Hepatocyte
LINC00115,0.010220567341973873,0.5761449898004768,1.0,13.286561,False,Hepatocyte
FAM41C,-0.002972606076513649,0.8708445048007687,1.0,14.768581,False,Hepatocyte
TTLL10-AS1,,1.0,1.0,0.0,False,Hepatocyte
TP73-AS1,0.024288364409562127,0.18396725194268296,1.0,13.576671,False,Hepatocyte
LINC01134,0.028624885154687002,0.11736085931316266,1.0,12.573662,False,Hepatocyte
ENO1-AS1,0.03456388229230873,0.05862127984039281,0.9033957946831964,13.038757,False,Hepatocyte
PINK1-AS,,1.0,1.0,0.0,False,Hepatocyte
LINC00339,0.01417683041041119,0.43808258090024804,1.0,14.251036,False,Hepatocyte
MDS2,-0.01777555668453227,0.33089938310521927,1.0,13.085175,False,Hepatocyte
SNHG12,0.0679419401102069,0.00019894134278231564,0.011445758588075892,16.001137,False,Hepatocyte
MATN1-AS1,0.03151447525379297,0.08468978225625302,1.0,14.5399685,False,Hepatocyte
ZMYM4-AS1,0.010627266191525837,0.5610581179469615,1.0,13.263866,False,Hepatocyte
NFYC-AS1,-0.005113193811117246,0.7797338008955305,1.0,13.251399,False,Hepatocyte
SZT2-AS1,,1.0,1.0,0.0,False,Hepatocyte
HYI-AS1,,1.0,1.0,0.0,False,Hepatocyte
KDM4A-AS1,0.006371815458209346,0.7274590970960548,1.0,14.197628,False,Hepatocyte
MKNK1-AS1,0.018410020337757693,0.31392796683109403,1.0,12.926437,False,Hepatocyte
EFCAB14-AS1,,1.0,1.0,0.0,False,Hepatocyte
CYP4A22-AS1,,1.0,1.0,0.0,False,Hepatocyte
LINC00853,,1.0,1.0,0.0,False,Hepatocyte
FOXD2-AS1,0.027694338463289718,0.12976695195912166,1.0,12.652679,False,Hepatocyte
SSBP3-AS1,,1.0,1.0,0.0,False,Hepatocyte
DAB1-AS1,,1.0,1.0,0.0,False,Hepatocyte
LINC01135,,1.0,1.0,0.0,False,Hepatocyte
DLEU2L,-0.0009568134923849885,0.9582637177119872,1.0,14.829014,False,Hepatocyte
GNG12-AS1,,1.0,1.0,0.0,False,Hepatocyte
ZRANB2-AS1,,1.0,1.0,0.0,False,Hepatocyte
NEXN-AS1,0.02553716204232328,0.16242173539215043,1.0,12.851332,False,Hepatocyte
LINC01140,,1.0,1.0,0.0,False,Hepatocyte
DPYD-AS1,,1.0,1.0,0.0,False,Hepatocyte
DPYD-AS2,,1.0,1.0,0.0,False,Hepatocyte
VAV3-AS1,,1.0,1.0,0.0,False,Hepatocyte
LAMTOR5-AS1,,1.0,1.0,0.0,False,Hepatocyte
LINC01160,,1.0,1.0,0.0,False,Hepatocyte
SLC16A1-AS1,0.03879858242817925,0.03376453746690384,0.6349113179584368,13.456646,False,Hepatocyte
AP4B1-AS1,-0.0064376879830584785,0.7247554219312866,1.0,13.060668,False,Hepatocyte
WARS2-IT1,,1.0,1.0,0.0,False,Hepatocyte
LINC00623,0.012142386531540034,0.5065958843503175,1.0,13.284836,False,Hepatocyte
LINC01138,,1.0,1.0,0.0,False,Hepatocyte
LINC00869,-0.0245220201971626,0.17978284284140178,1.0,13.14797,False,Hepatocyte
ADAMTSL4-AS1,-0.014287352095740289,0.4345196514425167,1.0,2.2940273,False,Hepatocyte
FLG-AS1,,1.0,1.0,0.0,False,Hepatocyte
RUSC1-AS1,-0.022829255998326976,0.2117382608748224,1.0,13.077169,False,Hepatocyte
LINC01133,,1.0,1.0,0.0,False,Hepatocyte
LINC00970,,1.0,1.0,0.0,False,Hepatocyte
DNM3OS,,1.0,1.0,0.0,False,Hepatocyte
GAS5-AS1,-0.012107681382385157,0.5078115608550225,1.0,13.163013,False,Hepatocyte
RASAL2-AS1,,1.0,1.0,0.0,False,Hepatocyte
C1orf220,,1.0,1.0,0.0,False,Hepatocyte
GS1-279B7.1,,1.0,1.0,0.0,False,Hepatocyte
LINC01036,,1.0,1.0,0.0,False,Hepatocyte
LINC01031,,1.0,1.0,0.0,False,Hepatocyte
MIR181A1HG,0.004599861485884317,0.80135880259253,1.0,13.228823,False,Hepatocyte
LINC00862,0.008910702070563464,0.6259911731207367,1.0,14.113068,False,Hepatocyte
IPO9-AS1,,1.0,1.0,0.0,False,Hepatocyte
PCAT6,,1.0,1.0,0.0,False,Hepatocyte
LEMD1-AS1,,1.0,1.0,0.0,False,Hepatocyte
SRGAP2-AS1,,1.0,1.0,0.0,False,Hepatocyte
SERTAD4-AS1,,1.0,1.0,0.0,False,Hepatocyte
PROX1-AS1,,1.0,1.0,0.0,False,Hepatocyte
RNU6ATAC35P,,1.0,1.0,0.0,False,Hepatocyte
ITPKB-AS1,,1.0,1.0,0.0,False,Hepatocyte
TMEM78,,1.0,1.0,0.0,False,Hepatocyte
LINC00582,,1.0,1.0,0.0,False,Hepatocyte
LINC00184,,1.0,1.0,0.0,False,Hepatocyte
LINC01132,,1.0,1.0,0.0,False,Hepatocyte
LGALS8-AS1,0.026975279656300904,0.14003227918229963,1.0,12.446194,False,Hepatocyte
LINC01115,0.02063560000889862,0.25899224726933595,1.0,13.153585,False,Hepatocyte
TRAPPC12-AS1,0.029576580634525142,0.10565539777475054,1.0,12.774402,False,Hepatocyte
LINC00487,,1.0,1.0,0.0,False,Hepatocyte
LINC00298,,1.0,1.0,0.0,False,Hepatocyte
LINC00299,,1.0,1.0,0.0,False,Hepatocyte
RN7SL832P,0.004073426324757929,0.8236947666234478,1.0,13.204052,False,Hepatocyte
LINC00570,,1.0,1.0,0.0,False,Hepatocyte
