gene,rank,cell_type,median_detection
MEG3,1,Central_venous_LSECs,0.6987906273620559
MEG3,2,Hepatic_Stellate_Cells,0.5416666666666666
MEG3,3,Periportal_LSECs,0.39705882352941174
MEG3,4,Portal_endothelial_Cells,0.17647058823529413
MEG3,5,Non-inflammatory_Macrophage,0.02247191011235955
MEG3,6,Inflammatory_Macrophage,0.014018691588785047
MEG3,7,Hepatocyte_5,0.01
MEG3,8,Plasma_Cells,0.008771929824561403
MEG3,9,Hepatocyte_3,0.00794912559618442
MEG3,10,gamma-delta_T_Cells_1,0.0034965034965034965
MEG3,11,alpha-beta_T_Cells,0.003278688524590164
MEG3,12,Hepatocyte_1,0.00298804780876494
MEG3,13,Hepatocyte_2,0.0022026431718061676
MEG3,14,Hepatocyte_4,0.001658374792703151
MEG3,15,Hepatocyte_6,0.0
MEG3,16,Cholangiocytes,0.0
MEG3,17,Mature_B_Cells,0.0
MEG3,18,NK-like_Cells,0.0
MEG3,19,Erythroid_Cells,0.0
MEG3,20,gamma-delta_T_Cells_2,0.0
KCNQ1OT1,1,Hepatic_Stellate_Cells,0.4166666666666667
KCNQ1OT1,2,Cholangiocytes,0.32225063938618925
KCNQ1OT1,3,Plasma_Cells,0.1648517846339988
KCNQ1OT1,4,Central_venous_LSECs,0.09840794956726145
KCNQ1OT1,5,Hepatocyte_5,0.08333333333333333
KCNQ1OT1,6,Periportal_LSECs,0.08163265306122448
KCNQ1OT1,7,Portal_endothelial_Cells,0.06896551724137931
KCNQ1OT1,8,Hepatocyte_3,0.05087440381558029
KCNQ1OT1,9,Mature_B_Cells,0.045570079883805376
KCNQ1OT1,10,Hepatocyte_1,0.044820717131474105
KCNQ1OT1,11,alpha-beta_T_Cells,0.04363636363636364
KCNQ1OT1,12,Hepatocyte_2,0.042951541850220265
KCNQ1OT1,13,Hepatocyte_4,0.03482587064676617
KCNQ1OT1,14,NK-like_Cells,0.03260869565217391
KCNQ1OT1,15,gamma-delta_T_Cells_1,0.029850746268656716
KCNQ1OT1,16,Inflammatory_Macrophage,0.029411764705882353
KCNQ1OT1,17,gamma-delta_T_Cells_2,0.012345679012345678
KCNQ1OT1,18,Erythroid_Cells,0.007575757575757576
KCNQ1OT1,19,Non-inflammatory_Macrophage,0.0
KCNQ1OT1,20,Hepatocyte_6,0.0
ZFAS1,1,gamma-delta_T_Cells_2,0.8864197530864197
ZFAS1,2,Inflammatory_Macrophage,0.8037383177570093
ZFAS1,3,Cholangiocytes,0.7873027259684362
ZFAS1,4,Mature_B_Cells,0.7365649963689179
ZFAS1,5,Portal_endothelial_Cells,0.7215189873417721
ZFAS1,6,Periportal_LSECs,0.7205882352941176
ZFAS1,7,Non-inflammatory_Macrophage,0.6764705882352942
ZFAS1,8,alpha-beta_T_Cells,0.6254545454545455
ZFAS1,9,Hepatic_Stellate_Cells,0.625
ZFAS1,10,NK-like_Cells,0.5217391304347826
ZFAS1,11,gamma-delta_T_Cells_1,0.4626865671641791
ZFAS1,12,Hepatocyte_2,0.43061674008810574
ZFAS1,13,Plasma_Cells,0.4256266988825128
ZFAS1,14,Hepatocyte_1,0.37749003984063745
ZFAS1,15,Central_venous_LSECs,0.36851883127850027
ZFAS1,16,Hepatocyte_5,0.34
ZFAS1,17,Hepatocyte_6,0.19811320754716982
ZFAS1,18,Erythroid_Cells,0.15454545454545454
ZFAS1,19,Hepatocyte_3,0.13990461049284578
ZFAS1,20,Hepatocyte_4,0.10945273631840796
NEAT1,1,Hepatocyte_4,0.9983416252072969
NEAT1,2,Hepatocyte_2,0.9977973568281938
NEAT1,3,Inflammatory_Macrophage,0.9672897196261683
NEAT1,4,Hepatocyte_1,0.9631474103585658
NEAT1,5,Central_venous_LSECs,0.9629285593649721
NEAT1,6,Hepatocyte_3,0.9507154213036566
NEAT1,7,Hepatocyte_5,0.9444444444444444
NEAT1,8,Hepatic_Stellate_Cells,0.9166666666666666
NEAT1,9,Cholangiocytes,0.8789592760180995
NEAT1,10,Portal_endothelial_Cells,0.8734177215189873
NEAT1,11,Periportal_LSECs,0.8666666666666667
NEAT1,12,Non-inflammatory_Macrophage,0.8556701030927835
NEAT1,13,Plasma_Cells,0.8222154222766218
NEAT1,14,gamma-delta_T_Cells_2,0.7592592592592593
NEAT1,15,gamma-delta_T_Cells_1,0.6865671641791045
NEAT1,16,alpha-beta_T_Cells,0.610909090909091
NEAT1,17,NK-like_Cells,0.5583756345177665
NEAT1,18,Mature_B_Cells,0.4769426289034132
NEAT1,19,Erythroid_Cells,0.41060606060606064
NEAT1,20,Hepatocyte_6,0.07547169811320754
MALAT1,1,Inflammatory_Macrophage,1.0
MALAT1,2,Periportal_LSECs,1.0
MALAT1,3,gamma-delta_T_Cells_1,1.0
MALAT1,4,Hepatic_Stellate_Cells,1.0
MALAT1,5,alpha-beta_T_Cells,1.0
MALAT1,6,Portal_endothelial_Cells,1.0
MALAT1,7,Cholangiocytes,1.0
MALAT1,8,Mature_B_Cells,1.0
MALAT1,9,NK-like_Cells,1.0
MALAT1,10,Plasma_Cells,0.9912280701754386
MALAT1,11,Hepatocyte_3,0.9904610492845787
MALAT1,12,Hepatocyte_4,0.9900497512437811
MALAT1,13,Hepatocyte_2,0.9845814977973568
MALAT1,14,Central_venous_LSECs,0.9842931937172774
MALAT1,15,Hepatocyte_5,0.9777777777777777
MALAT1,16,gamma-delta_T_Cells_2,0.9753086419753086
MALAT1,17,Non-inflammatory_Macrophage,0.9690721649484536
MALAT1,18,Hepatocyte_1,0.9641434262948207
MALAT1,19,Erythroid_Cells,0.6257575757575757
MALAT1,20,Hepatocyte_6,0.2641509433962264
