donor,cell_type,gene,n_cells,n_detected,detection_rate
P1TLH,Central_venous_LSECs,MEG3,191,148,0.774869109947644
P1TLH,Central_venous_LSECs,KCNQ1OT1,191,22,0.11518324607329843
P1TLH,Central_venous_LSECs,ZFAS1,191,73,0.38219895287958117
P1TLH,Central_venous_LSECs,NEAT1,191,183,0.9581151832460733
P1TLH,Central_venous_LSECs,MALAT1,191,185,0.9685863874345549
P1TLH,Cholangiocytes,MEG3,8,0,0.0
P1TLH,Cholangiocytes,KCNQ1OT1,8,0,0.0
P1TLH,Cholangiocytes,ZFAS1,8,6,0.75
P1TLH,Cholangiocytes,NEAT1,8,7,0.875
P1TLH,Cholangiocytes,MALAT1,8,8,1.0
P1TLH,Erythroid_Cells,MEG3,1,0,0.0
P1TLH,Erythroid_Cells,KCNQ1OT1,1,0,0.0
P1TLH,Erythroid_Cells,ZFAS1,1,0,0.0
P1TLH,Erythroid_Cells,NEAT1,1,1,1.0
P1TLH,Erythroid_Cells,MALAT1,1,1,1.0
P1TLH,Hepatic_Stellate_Cells,MEG3,8,5,0.625
P1TLH,Hepatic_Stellate_Cells,KCNQ1OT1,8,3,0.375
P1TLH,Hepatic_Stellate_Cells,ZFAS1,8,5,0.625
P1TLH,Hepatic_Stellate_Cells,NEAT1,8,8,1.0
P1TLH,Hepatic_Stellate_Cells,MALAT1,8,8,1.0
P1TLH,Hepatocyte_2,MEG3,1,0,0.0
P1TLH,Hepatocyte_2,KCNQ1OT1,1,0,0.0
P1TLH,Hepatocyte_2,ZFAS1,1,1,1.0
P1TLH,Hepatocyte_2,NEAT1,1,1,1.0
P1TLH,Hepatocyte_2,MALAT1,1,1,1.0
P1TLH,Hepatocyte_5,MEG3,90,4,0.044444444444444446
P1TLH,Hepatocyte_5,KCNQ1OT1,90,23,0.25555555555555554
P1TLH,Hepatocyte_5,ZFAS1,90,62,0.6888888888888889
P1TLH,Hepatocyte_5,NEAT1,90,85,0.9444444444444444
P1TLH,Hepatocyte_5,MALAT1,90,88,0.9777777777777777
P1TLH,Hepatocyte_6,MEG3,5,0,0.0
P1TLH,Hepatocyte_6,KCNQ1OT1,5,0,0.0
P1TLH,Hepatocyte_6,ZFAS1,5,1,0.2
P1TLH,Hepatocyte_6,NEAT1,5,0,0.0
P1TLH,Hepatocyte_6,MALAT1,5,2,0.4
P1TLH,Inflammatory_Macrophage,MEG3,186,10,0.053763440860215055
P1TLH,Inflammatory_Macrophage,KCNQ1OT1,186,7,0.03763440860215054
P1TLH,Inflammatory_Macrophage,ZFAS1,186,176,0.946236559139785
P1TLH,Inflammatory_Macrophage,NEAT1,186,180,0.967741935483871
P1TLH,Inflammatory_Macrophage,MALAT1,186,184,0.989247311827957
P1TLH,Mature_B_Cells,MEG3,7,0,0.0
P1TLH,Mature_B_Cells,KCNQ1OT1,7,0,0.0
P1TLH,Mature_B_Cells,ZFAS1,7,5,0.7142857142857143
P1TLH,Mature_B_Cells,NEAT1,7,2,0.2857142857142857
P1TLH,Mature_B_Cells,MALAT1,7,7,1.0
P1TLH,NK-like_Cells,MEG3,92,0,0.0
P1TLH,NK-like_Cells,KCNQ1OT1,92,3,0.03260869565217391
P1TLH,NK-like_Cells,ZFAS1,92,48,0.5217391304347826
P1TLH,NK-like_Cells,NEAT1,92,50,0.5434782608695652
P1TLH,NK-like_Cells,MALAT1,92,92,1.0
P1TLH,Non-inflammatory_Macrophage,MEG3,97,4,0.041237113402061855
P1TLH,Non-inflammatory_Macrophage,KCNQ1OT1,97,2,0.020618556701030927
P1TLH,Non-inflammatory_Macrophage,ZFAS1,97,82,0.845360824742268
P1TLH,Non-inflammatory_Macrophage,NEAT1,97,83,0.8556701030927835
P1TLH,Non-inflammatory_Macrophage,MALAT1,97,94,0.9690721649484536
P1TLH,Periportal_LSECs,MEG3,15,6,0.4
P1TLH,Periportal_LSECs,KCNQ1OT1,15,4,0.26666666666666666
P1TLH,Periportal_LSECs,ZFAS1,15,8,0.5333333333333333
P1TLH,Periportal_LSECs,NEAT1,15,13,0.8666666666666667
P1TLH,Periportal_LSECs,MALAT1,15,15,1.0
P1TLH,Plasma_Cells,MEG3,4,1,0.25
P1TLH,Plasma_Cells,KCNQ1OT1,4,2,0.5
P1TLH,Plasma_Cells,ZFAS1,4,2,0.5
P1TLH,Plasma_Cells,NEAT1,4,3,0.75
P1TLH,Plasma_Cells,MALAT1,4,4,1.0
P1TLH,Portal_endothelial_Cells,MEG3,6,2,0.3333333333333333
P1TLH,Portal_endothelial_Cells,KCNQ1OT1,6,1,0.16666666666666666
P1TLH,Portal_endothelial_Cells,ZFAS1,6,5,0.8333333333333334
P1TLH,Portal_endothelial_Cells,NEAT1,6,6,1.0
P1TLH,Portal_endothelial_Cells,MALAT1,6,6,1.0
P1TLH,alpha-beta_T_Cells,MEG3,275,1,0.0036363636363636364
P1TLH,alpha-beta_T_Cells,KCNQ1OT1,275,12,0.04363636363636364
P1TLH,alpha-beta_T_Cells,ZFAS1,275,172,0.6254545454545455
P1TLH,alpha-beta_T_Cells,NEAT1,275,168,0.610909090909091
P1TLH,alpha-beta_T_Cells,MALAT1,275,275,1.0
P1TLH,gamma-delta_T_Cells_1,MEG3,67,1,0.014925373134328358
P1TLH,gamma-delta_T_Cells_1,KCNQ1OT1,67,2,0.029850746268656716
P1TLH,gamma-delta_T_Cells_1,ZFAS1,67,31,0.4626865671641791
P1TLH,gamma-delta_T_Cells_1,NEAT1,67,46,0.6865671641791045
P1TLH,gamma-delta_T_Cells_1,MALAT1,67,67,1.0
P1TLH,gamma-delta_T_Cells_2,MEG3,15,0,0.0
P1TLH,gamma-delta_T_Cells_2,KCNQ1OT1,15,0,0.0
P1TLH,gamma-delta_T_Cells_2,ZFAS1,15,14,0.9333333333333333
P1TLH,gamma-delta_T_Cells_2,NEAT1,15,10,0.6666666666666666
P1TLH,gamma-delta_T_Cells_2,MALAT1,15,15,1.0
P2TLH,Central_venous_LSECs,MEG3,31,17,0.5483870967741935
P2TLH,Central_venous_LSECs,KCNQ1OT1,31,4,0.12903225806451613
P2TLH,Central_venous_LSECs,ZFAS1,31,11,0.3548387096774194
P2TLH,Central_venous_LSECs,NEAT1,31,30,0.967741935483871
P2TLH,Central_venous_LSECs,MALAT1,31,31,1.0
P2TLH,Cholangiocytes,MEG3,23,0,0.0
P2TLH,Cholangiocytes,KCNQ1OT1,23,4,0.17391304347826086
P2TLH,Cholangiocytes,ZFAS1,23,15,0.6521739130434783
P2TLH,Cholangiocytes,NEAT1,23,19,0.8260869565217391
P2TLH,Cholangiocytes,MALAT1,23,23,1.0
P2TLH,Erythroid_Cells,MEG3,2,0,0.0
P2TLH,Erythroid_Cells,KCNQ1OT1,2,1,0.5
P2TLH,Erythroid_Cells,ZFAS1,2,1,0.5
P2TLH,Erythroid_Cells,NEAT1,2,1,0.5
P2TLH,Erythroid_Cells,MALAT1,2,2,1.0
P2TLH,Hepatocyte_3,MEG3,629,5,0.00794912559618442
P2TLH,Hepatocyte_3,KCNQ1OT1,629,32,0.05087440381558029
P2TLH,Hepatocyte_3,ZFAS1,629,88,0.13990461049284578
P2TLH,Hepatocyte_3,NEAT1,629,598,0.9507154213036566
P2TLH,Hepatocyte_3,MALAT1,629,623,0.9904610492845787
P2TLH,Inflammatory_Macrophage,MEG3,34,5,0.14705882352941177
P2TLH,Inflammatory_Macrophage,KCNQ1OT1,34,1,0.029411764705882353
P2TLH,Inflammatory_Macrophage,ZFAS1,34,19,0.5588235294117647
P2TLH,Inflammatory_Macrophage,NEAT1,34,31,0.9117647058823529
P2TLH,Inflammatory_Macrophage,MALAT1,34,34,1.0
P2TLH,Mature_B_Cells,MEG3,7,0,0.0
P2TLH,Mature_B_Cells,KCNQ1OT1,7,0,0.0
P2TLH,Mature_B_Cells,ZFAS1,7,6,0.8571428571428571
P2TLH,Mature_B_Cells,NEAT1,7,5,0.7142857142857143
P2TLH,Mature_B_Cells,MALAT1,7,7,1.0
P2TLH,Non-inflammatory_Macrophage,MEG3,89,2,0.02247191011235955
P2TLH,Non-inflammatory_Macrophage,KCNQ1OT1,89,0,0.0
P2TLH,Non-inflammatory_Macrophage,ZFAS1,89,36,0.4044943820224719
P2TLH,Non-inflammatory_Macrophage,NEAT1,89,77,0.8651685393258427
P2TLH,Non-inflammatory_Macrophage,MALAT1,89,89,1.0
P2TLH,Periportal_LSECs,MEG3,49,13,0.2653061224489796
P2TLH,Periportal_LSECs,KCNQ1OT1,49,4,0.08163265306122448
P2TLH,Periportal_LSECs,ZFAS1,49,35,0.7142857142857143
P2TLH,Periportal_LSECs,NEAT1,49,40,0.8163265306122449
P2TLH,Periportal_LSECs,MALAT1,49,49,1.0
P2TLH,Plasma_Cells,MEG3,344,9,0.02616279069767442
P2TLH,Plasma_Cells,KCNQ1OT1,344,25,0.07267441860465117
P2TLH,Plasma_Cells,ZFAS1,344,132,0.38372093023255816
P2TLH,Plasma_Cells,NEAT1,344,276,0.8023255813953488
P2TLH,Plasma_Cells,MALAT1,344,344,1.0
P2TLH,Portal_endothelial_Cells,MEG3,5,1,0.2
P2TLH,Portal_endothelial_Cells,KCNQ1OT1,5,0,0.0
P2TLH,Portal_endothelial_Cells,ZFAS1,5,3,0.6
