gene,cell_type,typeSample,n_cells,detection_rate,mean_cp10k,mean_cp10k_in_detected,pseudobulk_cp10k,n_donors
MEG3,B cells,citeSeq,1022,0.0,0.0,,0.0,6
MEG3,B cells,scRnaSeq,1328,0.000753,0.000774,1.027432,0.001906,11
MEG3,Basophils,citeSeq,171,0.011696,0.051891,4.436648,0.093809,4
MEG3,Basophils,scRnaSeq,218,0.036697,0.341919,9.317287,0.192974,9
MEG3,Cholangiocytes,citeSeq,13,0.0,0.0,,0.0,2
MEG3,Cholangiocytes,scRnaSeq,142,0.014085,0.016564,1.176035,0.022255,6
MEG3,Circulating NK/NKT,citeSeq,4160,0.00024,0.001258,5.232862,0.001155,6
MEG3,Circulating NK/NKT,scRnaSeq,8407,0.000952,0.002983,3.134807,0.002921,11
MEG3,Endothelial cells,citeSeq,93,0.451613,3.024728,6.697613,3.375267,3
MEG3,Endothelial cells,nucSeq,2,0.5,0.950029,1.900057,1.167542,1
MEG3,Endothelial cells,scRnaSeq,834,0.773381,6.54872,8.467647,6.270183,9
MEG3,Fibroblasts,citeSeq,2,0.0,0.0,,0.0,1
MEG3,Fibroblasts,nucSeq,1,0.0,0.0,,0.0,1
MEG3,Fibroblasts,scRnaSeq,127,0.385827,1.282722,3.324606,1.04989,3
MEG3,Hepatocytes,nucSeq,13,0.076923,0.125609,1.63292,0.238772,2
MEG3,Hepatocytes,scRnaSeq,11,0.0,0.0,,0.0,3
MEG3,Macrophages,citeSeq,2287,0.0,0.0,,0.0,6
MEG3,Macrophages,nucSeq,1,0.0,0.0,,0.0,1
MEG3,Macrophages,scRnaSeq,4290,0.002797,0.005038,1.800923,0.005698,11
MEG3,Mig.cDCs,citeSeq,32,0.0,0.0,,0.0,4
MEG3,Mig.cDCs,scRnaSeq,46,0.0,0.0,,0.0,8
MEG3,Mono+mono derived cells,citeSeq,13631,0.014966,0.126453,8.449398,0.094469,6
MEG3,Mono+mono derived cells,scRnaSeq,16008,0.017804,0.122852,6.90038,0.111633,11
MEG3,Neutrophils,citeSeq,1172,0.0,0.0,,0.0,4
MEG3,Neutrophils,scRnaSeq,4166,0.00216,0.022109,10.234206,0.01632,9
MEG3,Plasma cells,citeSeq,519,0.001927,0.001733,0.899685,0.004176,5
MEG3,Plasma cells,scRnaSeq,604,0.011589,0.022121,1.908685,0.029367,11
MEG3,Resident NK,citeSeq,2669,0.0,0.0,,0.0,6
MEG3,Resident NK,scRnaSeq,8224,0.000851,0.002879,3.382025,0.002611,11
MEG3,T cells,citeSeq,45178,0.000266,0.001543,5.807664,0.001358,6
MEG3,T cells,scRnaSeq,32165,0.000622,0.001984,3.190782,0.001763,11
MEG3,cDC1s,citeSeq,589,0.001698,0.003898,2.295684,0.002468,5
MEG3,cDC1s,scRnaSeq,591,0.0,0.0,,0.0,11
MEG3,cDC2s,citeSeq,1536,0.001953,0.00646,3.307463,0.009625,6
MEG3,cDC2s,scRnaSeq,1093,0.005489,0.006578,1.198227,0.007026,11
MEG3,pDCs,citeSeq,506,0.0,0.0,,0.0,5
MEG3,pDCs,scRnaSeq,708,0.002825,0.003529,1.249392,0.005109,10
KCNQ1OT1,B cells,citeSeq,1022,0.050881,0.229995,4.52028,0.235461,6
KCNQ1OT1,B cells,scRnaSeq,1328,0.10994,0.364979,3.319808,0.375455,11
KCNQ1OT1,Basophils,citeSeq,171,0.093567,0.603369,6.448504,0.562855,4
KCNQ1OT1,Basophils,scRnaSeq,218,0.261468,1.496721,5.724302,1.35082,9
KCNQ1OT1,Cholangiocytes,citeSeq,13,0.307692,2.304565,7.489836,3.643607,2
KCNQ1OT1,Cholangiocytes,scRnaSeq,142,0.521127,2.631828,5.050264,2.982142,6
KCNQ1OT1,Circulating NK/NKT,citeSeq,4160,0.028365,0.15537,5.477438,0.165198,6
KCNQ1OT1,Circulating NK/NKT,scRnaSeq,8407,0.043178,0.17581,4.071724,0.177077,11
KCNQ1OT1,Endothelial cells,citeSeq,93,0.021505,0.071501,3.324784,0.098309,3
KCNQ1OT1,Endothelial cells,nucSeq,2,0.0,0.0,,0.0,1
KCNQ1OT1,Endothelial cells,scRnaSeq,834,0.181055,0.810363,4.475778,0.813904,9
KCNQ1OT1,Fibroblasts,citeSeq,2,0.5,1.358327,2.716653,1.702707,1
KCNQ1OT1,Fibroblasts,nucSeq,1,0.0,0.0,,0.0,1
KCNQ1OT1,Fibroblasts,scRnaSeq,127,0.244094,0.599569,2.456299,0.524945,3
KCNQ1OT1,Hepatocytes,nucSeq,13,0.230769,0.966543,4.188351,1.193859,2
KCNQ1OT1,Hepatocytes,scRnaSeq,11,0.0,0.0,,0.0,3
KCNQ1OT1,Macrophages,citeSeq,2287,0.032357,0.101837,3.147323,0.096252,6
KCNQ1OT1,Macrophages,nucSeq,1,0.0,0.0,,0.0,1
KCNQ1OT1,Macrophages,scRnaSeq,4290,0.077389,0.175642,2.269597,0.175872,11
KCNQ1OT1,Mig.cDCs,citeSeq,32,0.09375,0.222983,2.378481,0.185077,4
KCNQ1OT1,Mig.cDCs,scRnaSeq,46,0.152174,0.2692,1.769028,0.207722,8
KCNQ1OT1,Mono+mono derived cells,citeSeq,13631,0.034994,0.116044,3.31614,0.115486,6
KCNQ1OT1,Mono+mono derived cells,scRnaSeq,16008,0.071277,0.162475,2.279486,0.181477,11
KCNQ1OT1,Neutrophils,citeSeq,1172,0.006826,0.034111,4.997301,0.033948,4
KCNQ1OT1,Neutrophils,scRnaSeq,4166,0.008401,0.060463,7.196791,0.066914,9
KCNQ1OT1,Plasma cells,citeSeq,519,0.136802,0.516569,3.776045,0.446801,5
KCNQ1OT1,Plasma cells,scRnaSeq,604,0.30298,0.789271,2.605027,0.744675,11
KCNQ1OT1,Resident NK,citeSeq,2669,0.021356,0.093658,4.385474,0.111253,6
KCNQ1OT1,Resident NK,scRnaSeq,8224,0.044747,0.166151,3.713115,0.172347,11
KCNQ1OT1,T cells,citeSeq,45178,0.028421,0.14502,5.102583,0.147603,6
KCNQ1OT1,T cells,scRnaSeq,32165,0.053412,0.191821,3.59134,0.188935,11
KCNQ1OT1,cDC1s,citeSeq,589,0.076401,0.120429,1.576288,0.130802,5
KCNQ1OT1,cDC1s,scRnaSeq,591,0.125212,0.231102,1.84569,0.148393,11
KCNQ1OT1,cDC2s,citeSeq,1536,0.067057,0.130254,1.942433,0.135959,6
KCNQ1OT1,cDC2s,scRnaSeq,1093,0.105215,0.144873,1.376924,0.142529,11
KCNQ1OT1,pDCs,citeSeq,506,0.027668,0.098711,3.567691,0.097904,5
KCNQ1OT1,pDCs,scRnaSeq,708,0.053672,0.143742,2.678142,0.14562,10
ZFAS1,B cells,citeSeq,1022,0.598826,4.51536,7.540357,4.501229,6
ZFAS1,B cells,scRnaSeq,1328,0.752259,4.596316,6.110018,4.835173,11
ZFAS1,Basophils,citeSeq,171,0.415205,3.51381,8.462838,3.377132,4
ZFAS1,Basophils,scRnaSeq,218,0.408257,2.355888,5.770603,2.841986,9
ZFAS1,Cholangiocytes,citeSeq,13,0.846154,4.731095,5.591294,3.886514,2
ZFAS1,Cholangiocytes,scRnaSeq,142,0.71831,3.181543,4.429207,3.315963,6
ZFAS1,Circulating NK/NKT,citeSeq,4160,0.317548,1.975821,6.222116,1.980063,6
ZFAS1,Circulating NK/NKT,scRnaSeq,8407,0.38004,1.588817,4.180653,1.588213,11
ZFAS1,Endothelial cells,citeSeq,93,0.311828,1.465952,4.701156,1.278014,3
