gene,is_lncRNA,hvg_standard,hvg_forced,mean_raw,var_raw,index_of_dispersion,n_detected
RP11-34P13.7,False,False,False,0.001226,0.001237,1.009476,186.0
RP11-34P13.8,False,False,False,3.9e-05,3.9e-05,0.999967,6.0
AL627309.1,False,True,True,0.010075,0.010419,1.034174,1504.0
RP11-34P13.9,False,True,True,3.3e-05,3.3e-05,0.999974,5.0
AP006222.2,False,False,False,0.036058,0.037787,1.047933,5285.0
RP4-669L17.10,False,True,True,0.002183,0.002217,1.015842,330.0
RP5-857K21.3,False,True,True,2e-05,2e-05,0.999987,3.0
RP5-857K21.4,False,True,True,0.000138,0.000282,2.047495,16.0
RP11-206L10.3,False,True,True,0.012015,0.012802,1.065461,1765.0
RP11-206L10.5,False,False,False,0.000118,0.000118,0.999889,18.0
RP11-206L10.4,False,False,False,3.9e-05,3.9e-05,0.999967,6.0
RP11-206L10.2,False,False,False,0.007735,0.007898,1.021086,1163.0
RP11-206L10.9,False,False,False,0.009432,0.009999,1.060067,1391.0
FAM87B,True,False,True,0.000308,0.000308,0.999698,47.0
LINC00115,True,False,True,0.012559,0.013004,1.035464,1873.0
FAM41C,True,False,True,0.008797,0.008877,1.009094,1330.0
RP11-54O7.1,False,False,False,0.000243,0.000242,0.999764,37.0
RP11-54O7.3,False,False,False,5.2e-05,6.6e-05,1.249956,7.0
SAMD11,False,False,False,0.000295,0.000321,1.088601,43.0
NOC2L,False,False,False,0.112298,0.116245,1.035153,15951.0
KLHL17,False,False,False,0.006915,0.006959,1.006361,1048.0
PLEKHN1,False,False,False,0.004143,0.004296,1.037003,620.0
C1orf170,False,False,False,7.9e-05,7.9e-05,0.999928,12.0
RP11-54O7.17,False,False,False,0.003192,0.004074,1.276077,432.0
HES4,False,True,True,0.045196,0.091515,2.024868,4775.0
RP11-54O7.11,False,True,True,0.000151,0.000151,0.999856,23.0
ISG15,False,True,True,0.461979,2.002643,4.334925,44002.0
AGRN,False,False,False,0.004156,0.004702,1.131498,601.0
RP11-54O7.18,False,False,False,3.9e-05,3.9e-05,0.999967,6.0
C1orf159,False,False,False,0.011917,0.012155,1.019993,1790.0
RP11-465B22.5,False,True,True,2e-05,2e-05,0.999987,3.0
RP11-465B22.8,False,False,False,0.000256,0.000295,1.153598,36.0
TTLL10-AS1,True,False,True,3.3e-05,3.3e-05,0.999974,5.0
TTLL10,False,False,False,0.000505,0.000544,1.077424,74.0
TNFRSF18,False,True,True,0.06429,0.11371,1.768715,7491.0
TNFRSF4,False,True,True,0.047686,0.158209,3.317696,5228.0
SDF4,False,False,False,0.20088,0.227152,1.130786,26409.0
B3GALT6,False,False,False,0.045143,0.046855,1.037919,6613.0
FAM132A,False,False,False,0.001337,0.001349,1.008473,203.0
RP5-902P8.12,False,False,False,0.000479,0.000518,1.08172,71.0
UBE2J2,False,False,False,0.131641,0.132981,1.010177,18734.0
RP5-902P8.10,False,False,False,0.000557,0.000557,0.999449,85.0
SCNN1D,False,False,False,0.001803,0.001812,1.005477,274.0
ACAP3,False,False,False,0.03187,0.033148,1.040124,4692.0
PUSL1,False,False,False,0.028848,0.029209,1.012513,4317.0
CPSF3L,False,False,False,0.113359,0.116477,1.027505,16138.0
GLTPD1,False,False,False,0.028035,0.028377,1.012187,4193.0
TAS1R3,False,False,False,0.001068,0.001146,1.072558,157.0
DVL1,False,False,False,0.015515,0.015655,1.008995,2338.0
MXRA8,False,False,False,0.001219,0.003407,2.794498,94.0
