label_set,lineage,gene,rho_main,rho_median,rho_min,rho_max,sign_consistent
lineage_leiden,LSEC,MEG3,-0.314965647478148,-0.3677602315916749,-0.4509317528257997,0.4099957227618314,0.75
lineage_leiden,LSEC,ZFAS1,0.3242947654684232,0.3630013622177062,-0.4273621207579477,0.4545416807032947,0.75
lineage_leiden,LSEC,LINC00996,0.0056789287593781,-0.002304292090099,-0.0316829121699972,0.0049767409615589,0.6
lineage_pub,LSEC,MEG3,0.0637348342816953,-0.024948866509062,-0.1588634899019514,0.1780873097812398,0.6
lineage_pub,LSEC,ZFAS1,-0.0813932259144675,-0.0507429101967328,-0.1638589066155404,0.1195885976734617,0.8
lineage_pub,LSEC,LINC00996,-0.0264633758829087,-0.0145029151219761,-0.0650424221223775,0.0113289021961431,0.55
lineage_leiden,Kupffer,MEG3,0.0337047922307273,0.0053132160500749,-0.0190675624514448,0.0356563546698055,0.75
lineage_leiden,Kupffer,ZFAS1,0.1958412199370606,-0.0524251151461548,-0.083705365044135,0.1969602682909614,0.6
lineage_leiden,Kupffer,LINC00996,-0.0580728147574469,-0.0102871982055166,-0.0602192488349464,-0.0004564945486337,1.0
lineage_pub,Kupffer,MEG3,0.1154938967425482,0.1193109997037286,-0.0353187225348511,0.1321138992222899,0.95
lineage_pub,Kupffer,ZFAS1,-0.0264242965073687,-0.0090710262697067,-0.1780067407991963,0.1847963978635967,0.6
lineage_pub,Kupffer,LINC00996,-0.0144733995620325,-0.0177281382503809,-0.0606897773729351,0.0372935576040588,0.95
