gene,cell_type,typeSample,n_cells,detection_rate,mean_cp10k,mean_cp10k_in_detected,pseudobulk_cp10k,n_donors
MEG3,B cells,citeSeq,1022,0.0,0.0,,0.0,6
MEG3,B cells,scRnaSeq,1328,0.0007530120481927711,0.0007736690107806134,1.0274324463166546,0.0019058625857828748,11
MEG3,Basophils,citeSeq,171,0.011695906432748537,0.05189061499191664,4.436647581808873,0.09380921706827434,4
MEG3,Basophils,scRnaSeq,218,0.03669724770642202,0.3419188062774908,9.317287471061624,0.1929743309053654,9
MEG3,Cholangiocytes,citeSeq,13,0.0,0.0,,0.0,2
MEG3,Cholangiocytes,scRnaSeq,142,0.014084507042253521,0.01656386854094099,1.1760346664068102,0.022254788395908234,6
MEG3,Circulating NK/NKT,citeSeq,4160,0.0002403846153846154,0.0012578996095479612,5.2328623757195185,0.0011552290518850334,6
MEG3,Circulating NK/NKT,scRnaSeq,8407,0.0009515879624122755,0.002983044309573221,3.1348066888227586,0.002920851958480528,11
MEG3,Endothelial cells,citeSeq,93,0.45161290322580644,3.024728413279947,6.697612915119882,3.3752674817555324,3
MEG3,Endothelial cells,nucSeq,2,0.5,0.9500285008550257,1.9000570017100513,1.1675423234092235,1
MEG3,Endothelial cells,scRnaSeq,834,0.7733812949640287,6.5487201364180825,8.467647432205707,6.270182771148538,9
MEG3,Fibroblasts,citeSeq,2,0.0,0.0,,0.0,1
MEG3,Fibroblasts,nucSeq,1,0.0,0.0,,0.0,1
MEG3,Fibroblasts,scRnaSeq,127,0.3858267716535433,1.2827219206936773,3.3246057944509593,1.0498903321077004,3
MEG3,Hepatocytes,nucSeq,13,0.07692307692307693,0.1256092046425162,1.6329196603527107,0.23877175807645473,2
MEG3,Hepatocytes,scRnaSeq,11,0.0,0.0,,0.0,3
MEG3,Macrophages,citeSeq,2287,0.0,0.0,,0.0,6
MEG3,Macrophages,nucSeq,1,0.0,0.0,,0.0,1
MEG3,Macrophages,scRnaSeq,4290,0.002797202797202797,0.005037547308598689,1.8009231628240314,0.005697786227721371,11
MEG3,Mig.cDCs,citeSeq,32,0.0,0.0,,0.0,4
MEG3,Mig.cDCs,scRnaSeq,46,0.0,0.0,,0.0,8
MEG3,Mono+mono derived cells,citeSeq,13631,0.014965886582055608,0.12645272817039077,8.449397733777435,0.09446926603770232,6
MEG3,Mono+mono derived cells,scRnaSeq,16008,0.01780359820089955,0.12285158899317346,6.900379777553406,0.11163294524157527,11
MEG3,Neutrophils,citeSeq,1172,0.0,0.0,,0.0,4
MEG3,Neutrophils,scRnaSeq,4166,0.0021603456553048487,0.02210942299634261,10.23420624475148,0.01632049003250552,9
MEG3,Plasma cells,citeSeq,519,0.0019267822736030828,0.0017334973221800117,0.899685110211426,0.004175712303444002,5
MEG3,Plasma cells,scRnaSeq,604,0.011589403973509934,0.022120526770542468,1.9086854527725214,0.029367466720367177,11
MEG3,Resident NK,citeSeq,2669,0.0,0.0,,0.0,6
MEG3,Resident NK,scRnaSeq,8224,0.0008511673151750973,0.002878669502881882,3.3820254273857993,0.002611320012567164,11
MEG3,T cells,citeSeq,45178,0.00026561600779140287,0.0015426085277473688,5.807664005547552,0.00135799044240059,6
MEG3,T cells,scRnaSeq,32165,0.000621793875330328,0.0019840088739640307,3.190782271552652,0.0017632734819537775,11
MEG3,cDC1s,citeSeq,589,0.001697792869269949,0.003897596118617881,2.295684113865932,0.002467967022037465,5
MEG3,cDC1s,scRnaSeq,591,0.0,0.0,,0.0,11
MEG3,cDC2s,citeSeq,1536,0.001953125,0.006459889110806941,3.3074632247331546,0.00962541841994666,6
MEG3,cDC2s,scRnaSeq,1093,0.0054894784995425435,0.006577642333698195,1.1982271784553544,0.00702608222242609,11
MEG3,pDCs,citeSeq,506,0.0,0.0,,0.0,5
MEG3,pDCs,scRnaSeq,708,0.002824858757062147,0.00352935480398835,1.249391600611876,0.005109457350082134,10
KCNQ1OT1,B cells,citeSeq,1022,0.050880626223091974,0.22999469130986586,4.52028027920544,0.23546097175527914,6
KCNQ1OT1,B cells,scRnaSeq,1328,0.10993975903614457,0.36497890705078373,3.3198081408454847,0.37545492939922637,11
KCNQ1OT1,Basophils,citeSeq,171,0.0935672514619883,0.603368827176688,6.448504340450854,0.5628553024096461,4
