gene,is_marker,mean_cp10k,var_cp10k,mean_raw,var_raw,n_detected,is_lncRNA,hvg_standard,hvg_forced
MIR1302-10,False,0.0,0.0,0.0,0.0,0.0,False,False,False
FAM138A,False,0.0,0.0,0.0,0.0,0.0,False,False,False
OR4F5,False,0.0,0.0,0.0,0.0,0.0,False,False,False
RP11-34P13.7,False,0.0037296690755707624,0.017286994248050074,0.0012257552815631986,0.0012373705984763022,186.0,False,False,False
RP11-34P13.8,False,9.85557668180835e-05,0.0002842209279614637,3.9329046467268404e-05,3.9327757480572615e-05,6.0,False,False,False
AL627309.1,False,0.036547065607404346,0.2648955917993135,0.01007479073669859,0.010419086817064292,1504.0,False,True,True
RP11-34P13.14,False,0.0,0.0,0.0,0.0,0.0,False,False,False
RP11-34P13.9,False,0.00011640378424085107,0.0006169601613144448,3.277420538939033e-05,3.277334606492647e-05,5.0,False,True,True
AP006222.2,False,0.10891295944519826,0.4607439937464057,0.03605818076940725,0.037786572631966144,5285.0,False,False,False
RP4-669L17.10,False,0.007982900949796472,0.05261018282370756,0.0021827620789333963,0.002217341209426678,330.0,False,True,True
OR4F29,False,0.0,0.0,0.0,0.0,0.0,False,False,False
RP4-669L17.2,False,0.0,0.0,0.0,0.0,0.0,False,False,False
RP5-857K21.15,False,0.0,0.0,0.0,0.0,0.0,False,False,False
RP5-857K21.1,False,2.0710398350801987e-05,6.543569778905208e-05,6.554841077878067e-06,6.554841077878067e-06,1.0,False,False,False
RP5-857K21.2,False,0.0,0.0,0.0,0.0,0.0,False,False,False
RP5-857K21.3,False,8.081717578117318e-05,0.0005010909898118847,1.9664523233634202e-05,1.9664265436295045e-05,3.0,False,True,True
RP5-857K21.4,False,0.00041648773497466555,0.002136362874484779,0.0001376516626354394,0.00028184106579192607,16.0,False,True,True
RP5-857K21.5,False,0.0,0.0,0.0,0.0,0.0,False,False,False
OR4F16,False,0.0,0.0,0.0,0.0,0.0,False,False,False
RP11-206L10.3,False,0.03912113742879804,0.25926103950705326,0.012015023695750497,0.012801534246422275,1765.0,False,True,True
RP11-206L10.5,False,0.0004252502190627888,0.0020137059752610735,0.0001179871394018052,0.00011797399173750815,18.0,False,False,False
RP11-206L10.4,False,0.00011864590355206838,0.0004135515061797827,3.9329046467268404e-05,3.9327757480572615e-05,6.0,False,False,False
RP11-206L10.2,False,0.02303888912486317,0.09648308542009763,0.007734712471896119,0.007897803060364993,1163.0,False,False,False
RP11-206L10.9,False,0.025911915455659778,0.09988325556832134,0.009432416311066538,0.009998995483215402,1391.0,False,False,False
AL669831.1,False,0.0,0.0,0.0,0.0,0.0,False,False,False
FAM87B,False,0.0007981480011012132,0.003160979416217425,0.0003080775306602691,0.00030798463768572586,47.0,True,False,True
LINC00115,False,0.03958167128782963,0.16518348894939022,0.012559075505214377,0.01300447574910532,1873.0,True,False,True
FAM41C,False,0.02730989297255488,0.11763894428514869,0.008796596726512366,0.008876590983055758,1330.0,True,False,True
AL645608.2,False,0.0,0.0,0.0,0.0,0.0,False,False,False
RP11-54O7.16,False,1.0964939911771839e-05,1.8342154412391204e-05,6.554841077878067e-06,6.554841077878067e-06,1.0,False,False,False
RP11-54O7.1,False,0.0005899576015181012,0.0017882804903340654,0.00024252911988148848,0.00024247188887219543,37.0,False,False,False
RP11-54O7.2,False,2.4696266847580283e-05,5.383968401140648e-05,1.3109682155756133e-05,1.3109596223309748e-05,2.0,False,False,False
RP11-54O7.3,False,0.00015057509940416495,0.0005569514046530876,5.2438728623024534e-05,6.554609060272824e-05,7.0,False,False,False
SAMD11,False,0.0006905495362449938,0.0021475726780593785,0.000294967848504513,0.0003211023115589959,43.0,False,False,False
AL645608.1,False,0.0,0.0,0.0,0.0,0.0,False,False,False
NOC2L,False,0.3525352169324655,1.4593176152135017,0.11229753734620704,0.11624509098300173,15951.0,False,False,False
KLHL17,False,0.022852826663782536,0.10197511133441345,0.006915357337161361,0.0069593485625748545,1048.0,False,False,False
PLEKHN1,False,0.014176859968930054,0.061849458755349425,0.0041426595612189384,0.004295951960285987,620.0,False,False,False
C1orf170,False,0.00022403584862250013,0.0007461878482235904,7.865809293453681e-05,7.865242139307533e-05,12.0,False,False,False
RP11-54O7.17,False,0.0073108632987893205,0.028897719486319428,0.0031922076049266186,0.004073502503286623,432.0,False,False,False
HES4,False,0.11145565237055828,0.6054582811632319,0.04519562923196927,0.09151520167048317,4775.0,False,True,True
RP11-54O7.11,False,0.0005603803463578025,0.0028853154825524666,0.00015076134479119553,0.00015073960388225987,23.0,False,True,True
ISG15,False,1.3803624250290052,12.549728691049207,0.46197864432776825,2.0026429759594597,44002.0,False,True,True
AGRN,False,0.009365874933632234,0.03223595733110535,0.004155769243374695,0.0047022459805431405,601.0,False,False,False
RP11-54O7.18,False,0.0001281781919781855,0.0004972746967657786,3.9329046467268404e-05,3.9327757480572615e-05,6.0,False,False,False
RNF223,False,1.160148863062815e-05,2.0533608197484293e-05,6.554841077878067e-06,6.554841077878067e-06,1.0,False,False,False
C1orf159,False,0.03858800080624546,0.16473235668766273,0.011916701079582325,0.012154953771269414,1790.0,False,False,False
RP11-465B22.5,False,9.48231726086301e-05,0.0006969303751741022,1.9664523233634202e-05,1.9664265436295045e-05,3.0,False,True,True
RP11-465B22.8,False,0.0005701923051409618,0.0019157069293650611,0.0002556388020372446,0.0002949044303590801,36.0,False,False,False
TTLL10-AS1,False,0.0001402641401031732,0.0006563296539664256,3.277420538939033e-05,3.277334606492647e-05,5.0,True,False,True
TTLL10,False,0.001741194345138602,0.00784038334318615,0.0005047227629966112,0.0005438006289230932,74.0,False,False,False
TNFRSF18,False,0.2157346789111098,1.3334410832103623,0.06428988129182808,0.11371048941576153,7491.0,False,True,True
TNFRSF4,False,0.15312843765362907,1.7467352016310616,0.04768646884156293,0.158209211835352,5228.0,False,True,True
SDF4,False,0.5965183903932249,2.402342922009947,0.20087965967265123,0.22715191566271148,26409.0,False,False,False
B3GALT6,False,0.13442343513001528,0.5252878521182881,0.045143190503346246,0.04685495907788155,6613.0,False,False,False
FAM132A,False,0.003836524100184191,0.01610126166910463,0.0013371875798871256,0.0013485180307404598,203.0,False,False,False
RP5-902P8.12,False,0.0016178092102071984,0.007688138814852133,0.0004785033986850989,0.000517606872480604,71.0,False,False,False
UBE2J2,False,0.41310257454493016,1.6906754140879192,0.1316408733670252,0.1329806128827727,18734.0,False,False,False
RP5-902P8.10,False,0.0019491200899324197,0.008631661275143634,0.0005571614916196357,0.0005568547127860376,85.0,False,False,False
SCNN1D,False,0.006079703207283739,0.02745419246158383,0.0018025812964164683,0.0018124535595870784,274.0,False,False,False
ACAP3,False,0.09624499131483556,0.39814479691878013,0.031869637320643164,0.033148375197282566,4692.0,False,False,False
PUSL1,False,0.08859429833703682,0.3606343916611942,0.028847855583741373,0.029208829347369226,4317.0,False,False,False
CPSF3L,False,0.3477812186760532,1.4012374801418648,0.11335942160082328,0.11647741949183499,16138.0,False,False,False
GLTPD1,False,0.09043874448573995,0.37539628021665417,0.02803505529008449,0.028376709635183395,4193.0,False,False,False
TAS1R3,False,0.002676286712026167,0.010842300472939596,0.001068439095694125,0.0011459631381337055,157.0,False,False,False
DVL1,False,0.04580050278908488,0.17943600599787252,0.015515308831337385,0.01565486742089058,2338.0,False,False,False
MXRA8,False,0.0017697042547473439,0.007369298369245798,0.0012192004404853205,0.00340705324347507,94.0,False,False,False
AURKAIP1,False,1.2917326916143916,5.196923306665557,0.43218689162881246,0.5077294503555755,50703.0,False,False,False
CCNL2,False,0.3533244369063772,1.5096986457421147,0.1134446345348357,0.1218265427582008,15837.0,False,False,False
RP4-758J18.2,False,0.12028561749880375,0.4977885868315015,0.037244607004503175,0.03781103674012778,5537.0,False,False,False
MRPL20,False,1.2836396522001323,5.254003837809436,0.42400644996362064,0.4969304708874869,49574.0,False,False,False
RP4-758J18.13,False,0.006111892543868274,0.026894998776826284,0.0019336781179740297,0.0019430614255247034,294.0,False,False,False
ANKRD65,False,0.005792397214848026,0.01440552990962134,0.003395407678340839,0.0038165234128830963,487.0,False,False,False
RP4-758J18.7,False,0.0,0.0,0.0,0.0,0.0,False,False,False
TMEM88B,False,0.0,0.0,0.0,0.0,0.0,False,False,False
RP4-758J18.10,False,4.327261061622061e-05,0.00017033625434523185,1.9664523233634202e-05,1.9664265436295045e-05,3.0,False,False,False
VWA1,False,0.0023061552094599466,0.008024355199727957,0.0010946584600056372,0.001526089697276964,144.0,False,False,False
ATAD3C,False,0.01890985898570389,0.08255444034839683,0.006043563473803578,0.006282383319636814,901.0,False,False,False
ATAD3B,False,0.07276349746655392,0.29523405073473075,0.023590873039283162,0.02403083711068328,3527.0,False,False,False
ATAD3A,False,0.06786381203337725,0.2595983232977849,0.023623647244672554,0.02400962503002268,3534.0,False,False,False
TMEM240,False,2.602160014813941e-05,0.00010330131064047365,6.554841077878067e-06,6.554841077878067e-06,1.0,False,False,False
SSU72,False,1.4039863475770031,6.006896457281589,0.4509468467936995,0.521510905543994,52413.0,False,False,False
AL645728.1,False,0.060406102471830564,0.2688549410692922,0.017960264553385903,0.019158542161825158,2629.0,False,False,False
C1orf233,False,0.021330777161622717,0.07239480546149776,0.008514738560163609,0.008822476399863314,1271.0,False,False,False
RP11-345P4.9,False,0.03899369963751729,0.16831477560501734,0.012250997974554107,0.012572941994425454,1833.0,False,False,False
MIB2,False,0.3775434392595652,1.7723607532586023,0.11032453018176575,0.12712625907858455,14911.0,False,False,False
MMP23B,False,0.11269352670114513,0.49713248245599195,0.03379676059753931,0.03863280786559267,4753.0,False,False,False
CDK11B,False,0.17669151757680635,0.7752917063533289,0.05749251109406853,0.06067681265613029,8316.0,False,False,False
RP11-345P4.10,False,0.004467596476117437,0.01866274673309578,0.001474839242522565,0.0014988932810500429,223.0,False,False,False
SLC35E2B,False,0.31646977044946545,1.4318081151818172,0.09743771262265746,0.10631096633322538,13597.0,False,False,False
RP11-345P4.7,False,0.007931453686770364,0.03281437790806599,0.0023007492183352014,0.002295470817815941,351.0,False,False,False
CDK11A,False,0.4282041383333661,1.7944178460562623,0.13824815317352632,0.15136019219848945,18933.0,False,False,False
SLC35E2,False,0.026666199929207716,0.11475989484371035,0.008154222300880315,0.008297540263098,1229.0,False,False,False
NADK,False,0.2616729896630156,1.4640022771396277,0.08852968359782117,0.10494577861094029,11960.0,False,True,True
GNB1,False,0.8116264402624558,3.5546352561810446,0.2877313039545356,0.37717947719301315,34307.0,False,False,False
RP1-140A9.1,False,0.0029743523312292294,0.010946916453692663,0.0009963358438374662,0.0009953496830827403,152.0,False,False,False
CALML6,False,0.00046198368834352607,0.0017392430216450672,0.00015076134479119553,0.00015073960388225987,23.0,False,False,False
TMEM52,False,0.0025393367969113586,0.008843448303403995,0.0011339875064729056,0.0014080141333878277,156.0,False,False,False
C1orf222,False,0.004037640190352586,0.01813466589138859,0.0013371875798871256,0.001361627798828662,202.0,False,False,False
RP11-547D24.1,False,0.00015147194646005809,0.0004936640280703579,5.2438728623024534e-05,5.2436322514525724e-05,8.0,False,False,False
GABRD,False,6.527444336945051e-05,0.00029377711495817726,1.9664523233634202e-05,1.9664265436295045e-05,3.0,False,False,False
RP11-547D24.3,False,0.0001416331579913345,0.0005316016643759611,4.588388754514647e-05,4.5882082963772366e-05,7.0,False,False,False
PRKCZ,False,0.08483773831763448,0.420387646927047,0.023446666535569847,0.02384097375294817,3506.0,False,True,True
RP5-892K4.1,False,0.017204634338190472,0.07755741587474584,0.005230763180146697,0.005321424317192431,789.0,False,False,False
RP11-181G12.2,False,0.002886502157853683,0.011330758416309535,0.0009045680687471732,0.0009037557493314863,138.0,False,False,False
C1orf86,False,0.8186192515682458,3.3881132935370037,0.26587746380089017,0.29355050743525934,34173.0,False,False,False
AL590822.2,False,0.006637079366015771,0.027798271185834736,0.002025445893064323,0.002047576247847003,307.0,False,False,False
AL590822.1,False,0.003294771622782006,0.012436805599950564,0.0011864262350959301,0.001237465467897112,177.0,False,False,False
RP11-181G12.5,False,0.0,0.0,0.0,0.0,0.0,False,False,False
RP11-181G12.4,False,0.00013438404322262208,0.00033712951576565103,6.554841077878066e-05,7.865431190689582e-05,9.0,False,False,False
SKI,False,0.08438261892120426,0.38766461904655036,0.029044500816077713,0.03132122744716082,4215.0,False,False,False
MORN1,False,0.014303562792100107,0.06379834758599283,0.004398298363256183,0.0044969699510891276,662.0,False,False,False
AL589739.1,False,1.8319587674276838e-05,2.717721723598274e-05,1.3109682155756133e-05,1.3109596223309748e-05,2.0,False,False,False
RER1,False,0.9366987493363222,3.7770823045200608,0.3174181791962454,0.36611665512409586,39214.0,False,False,False
PEX10,False,0.055689851749159344,0.21145259424375126,0.01970385228010147,0.020220311095098358,2937.0,False,False,False
PLCH2,False,0.055347477998675926,0.24488567801308317,0.015587412083194044,0.016419546232030867,2298.0,False,False,False
RP3-395M20.2,False,0.0005544358232552651,0.002210636938760554,0.00017698070910270782,0.00017695054681402634,27.0,False,False,False
RP3-395M20.3,False,0.0,0.0,0.0,0.0,0.0,False,False,False
PANK4,False,0.052906043937099745,0.22653001959652425,0.016727954430744825,0.016933299206155945,2515.0,False,False,False
HES5,False,6.204772295964184e-05,0.00013235689357533686,3.277420538939033e-05,3.277334606492647e-05,5.0,False,False,False
RP3-395M20.12,False,0.22951430823484684,1.0839355220366502,0.0697828381150899,0.08352948980339775,9679.0,False,False,False
TNFRSF14,False,0.941073534173664,4.000715353868506,0.30798576288517887,0.35929273420651153,37875.0,False,False,False
RP3-395M20.7,False,0.000567093515492367,0.0025735194285449237,0.00017042586802482973,0.00017039793997975427,26.0,False,False,False
RP3-395M20.9,False,0.009324367018661633,0.04093081524875162,0.0026874848419300074,0.0027327189083155823,406.0,False,False,False
FAM213B,False,0.04504748136130939,0.18525734145209583,0.014676289173368991,0.014985381222491293,2200.0,False,False,False
MMEL1,False,0.013391037054516613,0.052509747207191135,0.0050734469942776235,0.005401703955390271,748.0,False,False,False
RP13-436F16.1,False,0.0,0.0,0.0,0.0,0.0,False,False,False
TTC34,False,0.01145856951081221,0.049552702546223064,0.003519949658820522,0.003586241213395649,531.0,False,False,False
RP11-740P5.2,False,0.0,0.0,0.0,0.0,0.0,False,False,False
RP11-740P5.3,False,0.0,0.0,0.0,0.0,0.0,False,False,False
ACTRT2,False,0.0,0.0,0.0,0.0,0.0,False,False,False
LINC00982,False,0.0004656301324077898,0.001980482326502345,0.00021630975556997622,0.0003866913683849171,24.0,False,False,False
PRDM16,False,0.0015994141407586573,0.009152912681849243,0.0005374969683860015,0.000825626484672009,66.0,False,True,True
RP1-163G9.2,False,0.0,0.0,0.0,0.0,0.0,False,False,False
RP11-22L13.1,False,1.0627174253895215e-05,1.7229530240759266e-05,6.554841077878067e-06,6.554841077878067e-06,1.0,False,False,False
ARHGEF16,False,0.0012102820462902876,0.003951389288182265,0.000583380855931148,0.0006485931849121129,84.0,False,False,False
