col,leiden_std
2,7
3,11
5,15
8,0
13,21
14,0
16,7
18,10
20,11
21,3
24,10
25,5
26,8
27,8
29,8
30,2
32,2
33,7
35,11
37,7
39,3
41,1
42,25
43,0
46,8
47,0
48,0
49,0
50,0
51,0
53,7
55,15
56,2
57,2
58,0
59,2
60,2
61,7
62,10
65,8
66,7
67,8
68,0
69,3
73,7
74,0
75,7
79,15
80,2
81,0
82,2
84,0
85,8
86,10
88,8
91,0
92,0
93,0
94,11
95,0
97,10
98,7
100,0
101,0
102,2
103,0
105,8
106,3
107,0
108,0
109,2
112,0
113,7
114,7
115,11
116,10
119,0
121,8
122,8
123,8
124,2
125,2
126,0
129,10
131,7
132,10
133,10
135,3
136,2
139,10
140,22
142,3
144,2
145,5
146,2
147,10
148,0
149,0
151,0
154,0
155,6
156,7
158,0
159,21
160,0
161,7
163,0
164,7
165,0
166,10
167,0
168,3
175,0
176,10
177,7
178,0
179,10
180,6
182,0
183,3
185,0
186,0
187,0
188,6
189,2
190,0
191,1
192,0
193,8
194,11
195,3
196,15
198,3
201,10
202,0
204,0
205,2
206,0
207,2
208,11
209,8
211,7
212,0
213,0
216,15
217,8
218,0
219,0
220,8
222,8
223,0
224,11
226,0
227,0
229,0
231,2
232,2
233,0
234,5
236,0
237,5
239,0
241,3
242,2
244,11
249,8
250,11
251,11
252,0
253,6
254,7
255,0
256,11
257,7
258,10
259,3
260,6
262,0
264,22
266,2
267,0
268,1
269,2
270,0
272,2
273,0
274,0
275,0
276,1
277,7
278,0
279,7
280,0
283,2
284,0
285,10
287,0
288,10
289,10
290,3
291,2
294,10
297,0
298,11
299,2
300,2
301,0
302,0
303,6
307,8
309,7
311,3
312,28
315,10
316,1
317,8
319,0
320,0
321,10
322,10
328,0
330,0
331,10
332,0
335,0
336,10
337,8
338,7
340,8
342,6
343,0
344,21
347,3
348,8
350,8
351,0
352,0
353,0
356,0
357,0
358,8
359,0
360,10
362,0
364,0
366,21
368,8
370,10
372,7
373,0
377,0
378,0
380,6
381,0
382,10
383,3
384,8
385,8
386,7
388,10
389,5
390,10
391,10
394,7
395,6
396,2
397,8
399,0
402,0
403,1
404,2
405,0
407,0
409,10
411,7
412,1
414,28
417,15
418,0
419,2
420,1
421,0
424,15
425,2
426,8
427,2
429,11
430,2
431,0
432,0
435,10
436,0
440,0
448,0
451,3
453,8
454,0
455,5
458,8
459,0
460,0
