gene,spearman_rho,wald_p,wald_q,log2fc_max_min,is_progression_coupled,label_set,lineage_name,n_cells
A1BG-AS1,-0.009938397406732026,0.5874749341506386,1.0,13.169789,False,lineage_leiden,Hepatocyte,2982
A2M-AS1,0.0781995174755119,1.9109242122122562e-05,0.0020614094939239713,16.30866,False,lineage_leiden,Hepatocyte,2982
A2ML1-AS2,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
ABCC5-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
ACTA2-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
ACVR2B-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
ADAM20P1,0.030542544632364124,0.09540556750926767,0.9851615302187684,12.443153,False,lineage_leiden,Hepatocyte,2982
ADAMTS9-AS2,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
ADAMTSL4-AS1,-0.008022167618949574,0.661462085004005,1.0,15.380108,False,lineage_leiden,Hepatocyte,2982
ADIPOQ-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
ADORA2A-AS1,-0.029989353298026638,0.10156132672795862,0.9851615302187684,13.283976,False,lineage_leiden,Hepatocyte,2982
ADPGK-AS1,0.015444075306931015,0.3991937758638466,1.0,13.163369,False,lineage_leiden,Hepatocyte,2982
AFAP1-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
AGAP2-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
AGBL5-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
AIRN,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
ALG13-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
ALKBH3-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
AP4B1-AS1,-0.00266233033559474,0.884455841970037,1.0,13.0655,False,lineage_leiden,Hepatocyte,2982
APOA1-AS,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
APOBEC3B-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
AQP4-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
ARAP1-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
ARAP1-AS2,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
ARHGAP26-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
ARHGAP31-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
ARHGAP5-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
ARIH2OS,0.039445740747077115,0.031242052055951968,0.7286997547104472,14.78054,False,lineage_leiden,Hepatocyte,2982
ARMCX3-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
ARSD-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
ASB16-AS1,0.005849945085554315,0.7494832646903333,1.0,2.3593326,False,lineage_leiden,Hepatocyte,2982
ASMTL-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
ATP11A-AS1,0.0009042550657439745,0.9606335290145492,1.0,13.074827,False,lineage_leiden,Hepatocyte,2982
ATP1B3-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
ATP6V0E2-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
