gene,spearman_rho,wald_p,wald_q,log2fc_max_min,is_progression_coupled,lineage
A1BG-AS1,-0.033783936692282295,0.30365602147139925,1.0,13.466272,False,LSEC
A2M-AS1,0.004344960089169144,0.8947829643148323,1.0,2.8510277,False,LSEC
A2ML1-AS2,,1.0,1.0,0.0,False,LSEC
ABCC5-AS1,,1.0,1.0,0.0,False,LSEC
ACTA2-AS1,,1.0,1.0,0.0,False,LSEC
ACVR2B-AS1,,1.0,1.0,0.0,False,LSEC
ADAM20P1,0.10946864713982335,0.0008314526776833341,0.3587718304203587,15.490974,False,LSEC
ADAMTS9-AS2,0.021779346347695388,0.5073251061369091,1.0,16.630453,False,LSEC
ADAMTSL4-AS1,0.03341490312084298,0.30897152315752824,1.0,15.105377,False,LSEC
ADIPOQ-AS1,,1.0,1.0,0.0,False,LSEC
ADORA2A-AS1,-0.011788068801995318,0.7197273681896851,1.0,14.098159,False,LSEC
ADPGK-AS1,0.028538243858567104,0.3849361341113544,1.0,14.378707,False,LSEC
AFAP1-AS1,,1.0,1.0,0.0,False,LSEC
AGAP2-AS1,-0.03202021823577982,0.3296117167870847,1.0,1.5117378,False,LSEC
AGBL5-AS1,0.032192664311848716,0.327012414135168,1.0,12.713758,False,LSEC
AIRN,-0.0023927583117740255,0.9419398112421536,1.0,14.116742,False,LSEC
ALG13-AS1,-0.010159662121229823,0.75712946191335,1.0,13.771521,False,LSEC
ALKBH3-AS1,0.02888501845059914,0.3791849162501148,1.0,13.988226,False,LSEC
AP4B1-AS1,0.004163369432333575,0.8991563779977829,1.0,15.014329,False,LSEC
APOA1-AS,,1.0,1.0,0.0,False,LSEC
APOBEC3B-AS1,,1.0,1.0,0.0,False,LSEC
AQP4-AS1,-0.048839821522538546,0.13688361489612877,1.0,12.991975,False,LSEC
ARAP1-AS1,,1.0,1.0,0.0,False,LSEC
ARAP1-AS2,,1.0,1.0,0.0,False,LSEC
ARHGAP26-AS1,-0.0022594415488366494,0.9451694984109085,1.0,13.241831,False,LSEC
ARHGAP31-AS1,,1.0,1.0,0.0,False,LSEC
ARHGAP5-AS1,-0.020061132918427222,0.5414038061462101,1.0,15.376699,False,LSEC
ARIH2OS,0.0036063203522533984,0.9125908227148799,1.0,2.7709188,False,LSEC
ARMCX3-AS1,,1.0,1.0,0.0,False,LSEC
ARSD-AS1,-0.033049503285928344,0.31429483197863317,1.0,13.511695,False,LSEC
ASB16-AS1,0.045059034709140654,0.1699934589501939,1.0,3.4896324,False,LSEC
ASMTL-AS1,-0.02974625070027467,0.36513140309852316,1.0,15.42162,False,LSEC
ATP11A-AS1,-0.04920434082667539,0.1339742202265331,1.0,14.826279,False,LSEC
ATP1B3-AS1,,1.0,1.0,0.0,False,LSEC
ATP6V0E2-AS1,0.06183246924448767,0.059580092361715895,1.0,14.324028,False,LSEC
BACH1-IT2,0.03610788046529192,0.27158187357442065,1.0,14.329463,False,LSEC
BCAR4,,1.0,1.0,0.0,False,LSEC
BCDIN3D-AS1,0.021704476602997548,0.5087862649269008,1.0,14.500813,False,LSEC
BDNF-AS,0.04071071874622471,0.21509165968787508,1.0,15.626496,False,LSEC
BFSP2-AS1,,1.0,1.0,0.0,False,LSEC
BHLHE40-AS1,-0.054160088781883386,0.0989918457806359,1.0,14.903659,False,LSEC
BLACE,,1.0,1.0,0.0,False,LSEC
BOK-AS1,,1.0,1.0,0.0,False,LSEC
BRWD1-AS1,,1.0,1.0,0.0,False,LSEC
BSN-AS1,,1.0,1.0,0.0,False,LSEC
BTBD9-AS1,,1.0,1.0,0.0,False,LSEC
C10orf55,,1.0,1.0,0.0,False,LSEC
C14orf178,-0.017259185049318133,0.5993175059084923,1.0,13.796148,False,LSEC
C1QTNF1-AS1,-0.01170044746908778,0.7217238544909045,1.0,1.764066,False,LSEC
C1RL-AS1,0.03967973097761328,0.2269449808942685,1.0,13.575348,False,LSEC
C1orf220,0.05434807207019326,0.0978240276406043,1.0,13.108261,False,LSEC
C21orf91-OT1,,1.0,1.0,0.0,False,LSEC
C2orf27A,0.02236655028854766,0.4959419643799655,1.0,2.94659,False,LSEC
C5orf60,,1.0,1.0,0.0,False,LSEC
C5orf64,0.016891968346141147,0.607110581239793,1.0,13.088866,False,LSEC
C6orf47-AS1,-0.0250931413837604,0.4449167150018385,1.0,13.15962,False,LSEC
C8orf44,0.0015230570206504355,0.9630236808042945,1.0,1.7902398,False,LSEC
C9orf163,0.04382119324578646,0.18204302182897278,1.0,13.198252,False,LSEC
CACNA1C-AS1,0.040271431781742306,0.22008654061230803,1.0,13.559429,False,LSEC
CACNA1C-AS2,-0.01603512937206153,0.6254676065679633,1.0,13.288252,False,LSEC
CACTIN-AS1,,1.0,1.0,0.0,False,LSEC
CAHM,0.031085877912692222,0.3439266965284983,1.0,15.842447,False,LSEC
CASC11,,1.0,1.0,0.0,False,LSEC
CASC15,0.02272969440508503,0.4889709935713303,1.0,14.498957,False,LSEC
CASC18,0.006364618829456683,0.8463863700695758,1.0,13.734407,False,LSEC
CASC19,,1.0,1.0,0.0,False,LSEC
CASC2,0.033783936692282295,0.30365602147139925,1.0,13.586141,False,LSEC
CASC20,,1.0,1.0,0.0,False,LSEC
CASC8,,1.0,1.0,0.0,False,LSEC
CASK-AS1,,1.0,1.0,0.0,False,LSEC
CCDC140,,1.0,1.0,0.0,False,LSEC
CCDC144NL,-0.04483283323552473,0.17214962121324573,1.0,3.0754616,False,LSEC
CCDC148-AS1,,1.0,1.0,0.0,False,LSEC
CCDC183-AS1,-0.03794572599495476,0.247916112954864,1.0,13.425694,False,LSEC
CCDC26,,1.0,1.0,0.0,False,LSEC
CCND2-AS1,0.06596218776978374,0.0444336167070267,1.0,14.864576,False,LSEC
CCNT2-AS1,0.03328127288228375,0.310911365917128,1.0,13.756105,False,LSEC
CD27-AS1,0.017244348156315457,0.5996314959442414,1.0,1.8715379,False,LSEC
CDKN2B-AS1,-0.032192664311848716,0.327012414135168,1.0,13.465775,False,LSEC
CELF2-AS1,,1.0,1.0,0.0,False,LSEC
CERS6-AS1,,1.0,1.0,0.0,False,LSEC
CFLAR-AS1,0.050736665135387354,0.12226367329519416,1.0,13.309329,False,LSEC
CIRBP-AS1,-0.008568389740796236,0.7942363975945326,1.0,14.1633625,False,LSEC
CKMT2-AS1,0.020364678195536376,0.5353013538539043,1.0,3.5690074,False,LSEC
CLLU1,,1.0,1.0,0.0,False,LSEC
CLRN1-AS1,,1.0,1.0,0.0,False,LSEC
CLYBL-AS1,,1.0,1.0,0.0,False,LSEC
COL4A2-AS1,0.016279940507512847,0.620198362091263,1.0,13.198252,False,LSEC
COL4A2-AS2,,1.0,1.0,0.0,False,LSEC
COLCA1,-0.05434807207019326,0.0978240276406043,1.0,13.616856,False,LSEC
CPB2-AS1,0.023379463435601155,0.47663058978670697,1.0,13.778874,False,LSEC
CRNDE,0.007212377612552804,0.8262321061083865,1.0,16.522362,False,LSEC
CSNK1G2-AS1,,1.0,1.0,0.0,False,LSEC
CTC-338M12.4,0.03563606856273035,0.2778986872021422,1.0,15.93824,False,LSEC
CYP1B1-AS1,0.02142097435199059,0.5143389902366865,1.0,13.843632,False,LSEC
CYP4A22-AS1,-0.04247473200080419,0.19585568414464513,1.0,13.82065,False,LSEC
CYP4F35P,-0.0029375540777536293,0.9287522387654993,1.0,14.912809,False,LSEC
DAB1-AS1,,1.0,1.0,0.0,False,LSEC
DACT3-AS1,0.008074068417812425,0.8058631824570307,1.0,13.764215,False,LSEC
DBH-AS1,0.005630656115380384,0.8639172068097007,1.0,13.197962,False,LSEC
DCTN1-AS1,,1.0,1.0,0.0,False,LSEC
DDX11-AS1,,1.0,1.0,0.0,False,LSEC
DDX39B-AS1,-0.023379463435601155,0.47663058978670697,1.0,14.108736,False,LSEC
DENND5B-AS1,0.00029438552732181445,0.9928505364256173,1.0,13.564833,False,LSEC
DGCR5,,1.0,1.0,0.0,False,LSEC
DGUOK-AS1,,1.0,1.0,0.0,False,LSEC
DHRS4-AS1,,1.0,1.0,0.0,False,LSEC
DIAPH2-AS1,,1.0,1.0,0.0,False,LSEC
DICER1-AS1,0.09161405878547539,0.005198489033848002,0.641046940802323,16.203556,False,LSEC
DIO2-AS1,,1.0,1.0,0.0,False,LSEC
DIO3OS,0.047194710688207235,0.15062268974922116,1.0,14.745522,False,LSEC
DIRC3,0.024041546877265747,0.4642335360996853,1.0,14.358917,False,LSEC
DLEU1,0.01907286690257815,0.5615089945054674,1.0,14.843142,False,LSEC
DLEU2L,0.02570412401474186,0.43390706098192533,1.0,15.608704,False,LSEC
DLG1-AS1,,1.0,1.0,0.0,False,LSEC
DLG3-AS1,,1.0,1.0,0.0,False,LSEC
DLG5-AS1,0.05569453331517553,0.08977741035639544,1.0,13.179055,False,LSEC
DLGAP1-AS1,0.01129020587617009,0.731096365500462,1.0,1.2588191,False,LSEC
DLGAP1-AS2,-0.06952746014813532,0.03410114311965798,1.0,2.4218695,False,LSEC
DLGAP1-AS3,,1.0,1.0,0.0,False,LSEC
DLGAP1-AS5,,1.0,1.0,0.0,False,LSEC
DNAH10OS,,1.0,1.0,0.0,False,LSEC
DNAH17-AS1,,1.0,1.0,0.0,False,LSEC
DNAJC27-AS1,0.013364087762290776,0.6841545341288461,1.0,15.876505,False,LSEC
DNAJC9-AS1,,1.0,1.0,0.0,False,LSEC
DNM1P35,0.042597137568529855,0.19456916675389466,1.0,13.757381,False,LSEC
DNM3OS,0.02047322586569308,0.5331275520537229,1.0,1.6126596,False,LSEC
DNMBP-AS1,,1.0,1.0,0.0,False,LSEC
DOCK9-AS1,,1.0,1.0,0.0,False,LSEC
DPP10-AS1,-0.027928797407995837,0.39517189286421806,1.0,14.979097,False,LSEC
DPYD-AS1,,1.0,1.0,0.0,False,LSEC
DPYD-AS2,,1.0,1.0,0.0,False,LSEC
DSCAM-AS1,,1.0,1.0,0.0,False,LSEC
DSCR9,,1.0,1.0,0.0,False,LSEC
EAF1-AS1,-0.014480147793623444,0.6593747527498349,1.0,13.67743,False,LSEC
EDNRB-AS1,,1.0,1.0,0.0,False,LSEC
EDRF1-AS1,,1.0,1.0,0.0,False,LSEC
EFCAB14-AS1,,1.0,1.0,0.0,False,LSEC
EGOT,0.02930686654256608,0.37226019358309476,1.0,14.729201,False,LSEC
ELFN2,,1.0,1.0,0.0,False,LSEC
ELMO1-AS1,,1.0,1.0,0.0,False,LSEC
ENO1-AS1,-0.023751994677162963,0.4696330333519414,1.0,14.453403,False,LSEC
ENTPD1-AS1,-0.01845707697567804,0.5742162148850817,1.0,2.9463525,False,LSEC
ENTPD3-AS1,0.05528223088950371,0.09218280440574196,1.0,3.284616,False,LSEC
EPB41L4A-AS1,0.055677447333359914,0.08987607887738623,1.0,1.2845234,False,LSEC
EPHA1-AS1,0.0035561911929741646,0.9138010781568597,1.0,15.683172,False,LSEC
EPN2-AS1,,1.0,1.0,0.0,False,LSEC
EXTL3-AS1,,1.0,1.0,0.0,False,LSEC
EZR-AS1,,1.0,1.0,0.0,False,LSEC
FAM106A,-0.02608557612727609,0.42711392039677565,1.0,14.965286,False,LSEC
FAM138B,,1.0,1.0,0.0,False,LSEC
FAM13A-AS1,0.029375359459581796,0.3711432984820239,1.0,15.380104,False,LSEC
FAM182B,-0.02740578572629675,0.40408561188780123,1.0,14.70855,False,LSEC
FAM201A,0.05544972217972421,0.09119949073504578,1.0,13.710762,False,LSEC
FAM215A,,1.0,1.0,0.0,False,LSEC
FAM218A,,1.0,1.0,0.0,False,LSEC
FAM222A-AS1,,1.0,1.0,0.0,False,LSEC
FAM224B,,1.0,1.0,0.0,False,LSEC
FAM225A,,1.0,1.0,0.0,False,LSEC
FAM225B,,1.0,1.0,0.0,False,LSEC
FAM230A,-0.04223211148477817,0.19842406920049063,1.0,14.163675,False,LSEC
FAM230C,-0.009010487264127802,0.7838763948134726,1.0,14.921886,False,LSEC
FAM27E3,0.04720006012767484,0.15057637333264015,1.0,3.069573,False,LSEC
FAM41C,0.03891460471369088,0.23603734797472367,1.0,14.326258,False,LSEC
FAM53B-AS1,0.00031990749246502836,0.9922307273142745,1.0,15.0029955,False,LSEC
FAM66B,0.016524751642964172,0.6149485124764213,1.0,13.683791,False,LSEC
FAM66C,0.05584299454908091,0.08892373329749392,1.0,15.245472,False,LSEC
FAM66D,,1.0,1.0,0.0,False,LSEC
FAM66E,0.000734433406353963,0.9821647535563918,1.0,13.263834,False,LSEC
FAM74A4,0.017816356042731126,0.5875804676996612,1.0,15.002636,False,LSEC
FAM74A6,0.0008028018243494193,0.9805047860226879,1.0,13.456497,False,LSEC
FAM83A-AS1,-0.03415115339545928,0.2984272565953763,1.0,14.05776,False,LSEC
FAM83C-AS1,,1.0,1.0,0.0,False,LSEC
FAM85B,0.02785443492794054,0.3964319708377377,1.0,15.028961,False,LSEC
FAM87A,,1.0,1.0,0.0,False,LSEC
FAM87B,,1.0,1.0,0.0,False,LSEC
FAM99B,-0.006328076990726426,0.8472574602238203,1.0,15.034355,False,LSEC
FARP1-AS1,,1.0,1.0,0.0,False,LSEC
FBXL19-AS1,0.012285390751572402,0.7084321820630765,1.0,15.407343,False,LSEC
FENDRR,,1.0,1.0,0.0,False,LSEC
FGD5-AS1,0.034599200797859476,0.29212931630361466,1.0,0.8116642,False,LSEC
FGF13-AS1,-0.04063864848491929,0.2159054883530506,1.0,14.269407,False,LSEC
FGF14-AS2,0.000336122303881226,0.9918369478251866,1.0,15.366959,False,LSEC
FLG-AS1,,1.0,1.0,0.0,False,LSEC
FLNB-AS1,,1.0,1.0,0.0,False,LSEC
FOXD2-AS1,,1.0,1.0,0.0,False,LSEC
FOXN3-AS1,0.0439716694719322,0.18054534246931986,1.0,14.914574,False,LSEC
FOXN3-AS2,,1.0,1.0,0.0,False,LSEC
FOXP1-AS1,,1.0,1.0,0.0,False,LSEC
