gene,lineage,rho_main,rho_roots_median,rho_roots_min,rho_roots_max,sign_consistent_frac
A1BG-AS1,LSEC,-0.033783936692282295,-0.017993618455672097,-0.056551372289255164,0.026562008196468336,0.65
A2M-AS1,LSEC,0.004344960089169144,0.03431592108027145,-0.018455515309046044,0.06814212480700095,0.8
A2ML1-AS2,LSEC,,,,,0.0
ABCC5-AS1,LSEC,,,,,0.0
ACTA2-AS1,LSEC,,,,,0.0
ACVR2B-AS1,LSEC,,,,,0.0
ADAM20P1,LSEC,0.10946864713982335,0.07265251765509631,-0.07753920163584509,0.1061476160613615,0.8
ADAMTS9-AS2,LSEC,0.021779346347695388,0.02004343787691958,-0.05697775289489406,0.0871075082730479,0.7
ADAMTSL4-AS1,LSEC,0.03341490312084298,0.010067367955248742,-0.06161419038246943,0.05028187865987474,0.55
ADIPOQ-AS1,LSEC,,,,,0.0
ADORA2A-AS1,LSEC,-0.011788068801995318,-0.01738146820832329,-0.05564995275030363,0.054056841203220754,0.65
ADPGK-AS1,LSEC,0.028538243858567104,0.04028308912719601,-0.0669364452839116,0.05688296512222603,0.9
AFAP1-AS1,LSEC,,,,,0.0
AGAP2-AS1,LSEC,-0.03202021823577982,-0.04964578582479604,-0.07024591334830635,-0.025194795021327387,1.0
AGBL5-AS1,LSEC,0.032192664311848716,0.010404473256681146,-0.0558169388829012,0.026317197061017015,0.6
AIRN,LSEC,-0.0023927583117740255,0.0028949177104957936,-0.042584929476526936,0.021769226781893684,0.55
ALG13-AS1,LSEC,-0.010159662121229823,0.010526878824406807,-0.023379463435601162,0.029377336254158528,0.75
ALKBH3-AS1,LSEC,0.02888501845059914,0.008296209238460903,-0.017051242278529773,0.048176685606789615,0.85
AP4B1-AS1,LSEC,0.004163369432333575,0.019576945280768504,-0.003009226340450997,0.05064126632218209,0.9
APOA1-AS,LSEC,,,,,0.0
APOBEC3B-AS1,LSEC,,,,,0.0
AQP4-AS1,LSEC,-0.048839821522538546,-0.046024493464848354,-0.05496009990882158,-0.001836083515884908,1.0
ARAP1-AS1,LSEC,,,,,0.0
ARAP1-AS2,LSEC,,,,,0.0
ARHGAP26-AS1,LSEC,-0.0022594415488366494,0.008727253785115768,-0.004681643430385107,0.0408220812484673,0.75
ARHGAP31-AS1,LSEC,,,,,0.0
ARHGAP5-AS1,LSEC,-0.020061132918427222,-0.009068664448448675,-0.0329826190609641,0.02117160737951883,0.55
ARIH2OS,LSEC,0.0036063203522533984,-0.022825886172605607,-0.06100530693525248,0.016822324251275413,0.85
ARMCX3-AS1,LSEC,,,,,0.0
ARSD-AS1,LSEC,-0.033049503285928344,-0.019829701998579648,-0.056796183424706485,0.024725924680583426,0.7
ASB16-AS1,LSEC,0.045059034709140654,0.03819429071077576,-0.018470749131365257,0.0708772972959118,0.8
ASMTL-AS1,LSEC,-0.02974625070027467,-0.039508900073249684,-0.061310872974540395,0.0078096798316716395,0.9
ATP11A-AS1,LSEC,-0.04920434082667539,-0.04283475867237288,-0.07272166239163814,-0.005342338773871049,1.0
ATP1B3-AS1,LSEC,,,,,0.0
ATP6V0E2-AS1,LSEC,0.06183246924448767,0.03934602420096803,-0.08800811809626896,0.058733306537423514,0.8
BACH1-IT2,LSEC,0.03610788046529192,0.032082913722701445,-0.0066458062492646625,0.04625136324229271,0.9
BCAR4,LSEC,,,,,0.0
BCDIN3D-AS1,LSEC,0.021704476602997548,0.03451045853023718,0.020949316455318116,0.06404954474832208,1.0
BDNF-AS,LSEC,0.04071071874622471,0.018506337574768602,-0.04089000209708083,0.06315831733597209,0.75
BFSP2-AS1,LSEC,,,,,0.0
BHLHE40-AS1,LSEC,-0.054160088781883386,-0.02210640871210698,-0.0542540774219727,0.01415730778642547,0.8
BLACE,LSEC,,,,,0.0
BOK-AS1,LSEC,,,,,0.0
BRWD1-AS1,LSEC,,,,,0.0
BSN-AS1,LSEC,,,,,0.0
BTBD9-AS1,LSEC,,,,,0.0
C10orf55,LSEC,,,,,0.0
C14orf178,LSEC,-0.017259185049318133,-0.022706232813110027,-0.0511655273093261,0.0019584890836105684,0.9
C1QTNF1-AS1,LSEC,-0.01170044746908778,-0.019055942342894882,-0.07974630763883697,0.061230243464089985,0.75
C1RL-AS1,LSEC,0.03967973097761328,0.017794445517580075,-0.018453710594124564,0.04820273303799283,0.8
C1orf220,LSEC,0.05434807207019326,0.05434807207019327,0.05349123309611365,0.054348072273550097,1.0
C21orf91-OT1,LSEC,,,,,0.0
C2orf27A,LSEC,0.02236655028854766,0.03029175694278056,-0.021787706914933615,0.04568771350219165,0.9
C5orf60,LSEC,,,,,0.0
C5orf64,LSEC,0.016891968346141147,0.019401282484517196,-0.05606175001835252,0.033294314421379666,0.9
C6orf47-AS1,LSEC,-0.0250931413837604,0.0003672167031769816,-0.05349123309611365,0.029132525118707207,0.5
C8orf44,LSEC,0.0015230570206504355,0.004020372228887514,-0.03244323057173899,0.01714591038239962,0.65
C9orf163,LSEC,0.04382119324578646,0.04400480159737496,-0.0007344334063539632,0.04639171016802534,0.95
CACNA1C-AS1,LSEC,0.040271431781742306,0.02778606387372494,-0.055082505476547236,0.03745610372405212,0.75
CACNA1C-AS2,LSEC,-0.01603512937206153,-0.014933479262530584,-0.05312401639293667,0.02815328057690192,0.85
