lineage,rho_min,lfc_min,n_coupled
Hepatocyte,0.2,0.5,2
Kupffer,0.2,0.5,0
LSEC,0.2,0.5,7
Cholangiocyte,0.2,0.5,3
Hepatocyte,0.2,1.0,1
Kupffer,0.2,1.0,0
LSEC,0.2,1.0,6
Cholangiocyte,0.2,1.0,3
Hepatocyte,0.2,1.5,1
Kupffer,0.2,1.5,0
LSEC,0.2,1.5,6
Cholangiocyte,0.2,1.5,3
Hepatocyte,0.3,0.5,1
Kupffer,0.3,0.5,0
LSEC,0.3,0.5,3
Cholangiocyte,0.3,0.5,1
Hepatocyte,0.3,1.0,0
Kupffer,0.3,1.0,0
LSEC,0.3,1.0,2
Cholangiocyte,0.3,1.0,1
Hepatocyte,0.3,1.5,0
Kupffer,0.3,1.5,0
LSEC,0.3,1.5,2
Cholangiocyte,0.3,1.5,1
Hepatocyte,0.4,0.5,1
Kupffer,0.4,0.5,0
LSEC,0.4,0.5,0
Cholangiocyte,0.4,0.5,0
Hepatocyte,0.4,1.0,0
Kupffer,0.4,1.0,0
LSEC,0.4,1.0,0
Cholangiocyte,0.4,1.0,0
Hepatocyte,0.4,1.5,0
Kupffer,0.4,1.5,0
LSEC,0.4,1.5,0
Cholangiocyte,0.4,1.5,0
